"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"047C010170","2950 SE LANDMARK DR","4/20/2022","$214,600.00","Qualified","01","0.24","Residential","1974","1215","$176.63","LAKERIDGE"
"032A010011","151 SE BRIDGEWOOD DR","5/19/2022","$257,000.00","Qualified","01","0.61","Residential","1973","1440","$178.47","FLINTRIDGE EST"
"077D010450","1408 SE MANSTON CT","5/3/2022","$503,000.00","Qualified","01","0.0","Residential","2006","3619","$138.99","FOUNTAINCREST"
"0100070024","423 SW CENTER CIR","1/12/2022","$185,000.00","Qualified","01","0.16","Residential","1967","1338","$138.27","ABBOTT ESTATES SUB"
"077A020086","2619 SE COUNTRY TRCE","2/9/2022","$285,000.00","Qualified","01","0.26","Residential","1985","1680","$84.82","FIELDSTONE VIEW"
"047C010083","3000 SE LAKERIDGE DR","1/18/2022","$215,000.00","Qualified","01","0.29","Residential","1973","1896","$113.40","LAKERIDGE"
"047C010393","2755 SE STANTON WOODS DR","2/7/2022","$230,000.00","Qualified","01","0.3","Residential","1980","1332","$172.67","STANTON and LANDM"
"0510010049","1031 SE APPLE ORCHARD DR","3/21/2022","$200,000.00","Qualified","01","0.87","Residential","1976","1480","$135.14","HIDDEN LAKE"
"077D010025","1321 SE KAY TERR","1/18/2022","$310,000.00","Qualified","01","0.5","Residential","1996","2236","$138.64","NANTUCKET"
"C390010101","1743 SE HUNTING CREEK LN","2/22/2022","$261,500.00","Qualified","01","0.23","Residential","1983","1002","$260.98","HUNTING CREEK HOMES"
"C370010082","1550 NW TANGLE WOOD WAY","5/5/2022","$241,400.00","Qualified","01","0.0","Residential","1972","1292","$186.84","NORTHRIDGE"
"077B010070","1270 SE SWEET SHRUB LN","2/18/2022","$515,000.00","Qualified","01","0.79","Residential","1986","3088","$166.77","IRWIN PLACE"
"0630290111","2004 NE HI ROC RD","5/19/2022","$115,000.00","Qualified","01","0.35","Residential","1962","1208","$95.20","HI ROC"
"079B010268","3425 SE WILLIAMS PL","4/25/2022","$370,000.00","Qualified","01","0.0","Residential","1987","2645","$139.89","GARDENS OF FIELDSTONE"
"077E010216","2815 SE DRIFTWOOD CT","5/16/2022","$348,000.00","Qualified","01","0.2","Residential","2003","2142","$162.46","OLDE SALEM TOWNSHIP"
"012A010019","2887 SW BRIDLE CREEK DR","5/16/2022","$363,600.00","Qualified","01","0.47","Residential","1996","2018","$180.18","BRIDLE CREEK SUB"
"0490010084","3318 SE ROCKINGHAM CT","5/27/2022","$550,000.00","Qualified","01","0.7","Residential","2022","4358","$126.20","ROCKINGHAM"
"0140020105","3226 SW ASHMORE CT","4/28/2022","$580,000.00","Qualified","01","0.66","Residential","2007","3435","$168.85","MONTCLAIR ESTATES"
"0650010030","1790 NE RICHARD RD","3/11/2022","$285,000.00","Qualified","01","1.14","Residential","1995","540","$116.61","RURAL MAP 65"
"045B010295","1598 SW CHERRY HILL RD","2/18/2022","$242,000.00","Qualified","01","0.24","Residential","1989","1290","$187.60","SUGAR HILL and PINE VIEW"
"090A010110","1317 NE CLASSIC DR","3/3/2022","$195,000.00","Qualified","01","0.53","Residential","1984","1026","$190.06","MOUNTAIN VALLEY EST"
"0630240006","2379 NE PHILADELPHIA RD","1/11/2022","$170,000.00","Qualified","90","0.15","Residential","2001","1566","$108.56","HI ROC"
"079D010040","3701 SE WINDY HILL DR","3/22/2022","$290,200.00","Qualified","01","0.54","Residential","1989","1684","$172.33","HONEY SPRINGS"
"047C010232","565 SE GREENVIEW AVE","4/29/2022","$270,000.00","Qualified","01","0.32","Residential","1985","1434","$188.28","STANTON and LANDM"
"080B010211","4185 SE LANCE CIR","3/23/2022","$246,000.00","Qualified","01","0.51","Residential","1990","1537","$160.05","BRANDYWINE"
"C060010009","1355 NW IRWIN BRIDGE RD","3/28/2022","$95,000.00","Qualified","01","0.29","Residential","1964","1424","$66.71","IRVING BRIDGE SUB"
"093B010059","2493 SE HIGHLAND DR","5/27/2022","$337,700.00","Qualified","01","0.47","Residential","1973","2830","$119.33","FIELDSTONE"
"077E010172","2628 SE ESSEX CT","5/18/2022","$326,900.00","Qualified","01","0.2","Residential","2002","2016","$162.15","OLDE SALEM TOWNSHIP"
"051B010282","616 SE WINDSOR DR","4/7/2022","$250,000.00","Qualified","01","0.58","Residential","1985","1028","$243.19","BRISTOL BUDDY DAWSON"
"0920010044","2545 NE GLENDALE DR","3/29/2022","$393,500.00","Qualified","01","0.0","Residential","1985","1734","$226.93","GLENDALE ACRES"
"0080010027","3276 SW BOULDER DR","2/18/2022","$545,000.00","Qualified","01","3.34","Residential","1984","2625","$207.62","BOULDER BRANCH"
"0330010070","2121 SW SOUTH RIVER RD","3/31/2022","$385,000.00","Qualified","01","0.83","Residential","1993","2259","$170.43","DEER FOREST"
"0410010061","1416 NW VILLA PINES CT","4/27/2022","$85,250.00","Qualified","01","0.0","Residential","1974","1160","$73.49","FOREST VILLAS"
"047C010055","815 SE BRIDGEWATER WAY","4/12/2022","$195,000.00","Qualified","01","0.0","Residential","1978","1068","$182.58","RAINTREE"
"047C010062","826 SE RAINTREE WAY","5/31/2022","$154,990.00","Qualified","01","0.0","Residential","1978","1448","$107.04","RAINTREE"
