"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"093A010027","2272 SE FAIRVIEW RD","2/26/2021","$200,000.00","Qualified","01","0.53","Residential","1971","1828","$109.41","FIELDSTONE"
"0440010164","1710 SW PROSPECT WAY","4/27/2021","$289,250.00","Qualified","01","0.04","Residential","2020","1968","$146.98","EASTMORE TH"
"051C010054","4758 SE BELL DR","3/10/2021","$188,000.00","Qualified","01","0.3","Residential","1976","2004","$93.81","BELL CREEK"
"010A010044","2573 SW OAKRIDGE DR","5/10/2021","$285,000.00","Qualified","01","0.61","Residential","2003","3780","$75.40","ABBOTT SUB U2"
"0780050014","913 SE KING DR","4/2/2021","$169,000.00","Qualified","01","1.08","Residential","1970","1595","$105.96","PINEWOOD SHORE"
"0780060001","833 SE CARLTON DR","2/4/2021","$125,000.00","Qualified","01","0.47","Residential","1968","1526","$81.91","PINEWOOD SHORE"
"054A010124","1510 NE COUNTRY LANE DR","5/21/2021","$160,000.00","Qualified","01","0.0","Residential","1991","1544","$103.63","COUNTRY LANE EST"
"051C010204","4824 SE NAVAJO TRL","2/9/2021","$152,000.00","Qualified","01","0.0","Residential","1987","1258","$120.83","CEDAR BROOK"
"0330010267","2008 SW FONTAINBLEAU DR","3/5/2021","$328,000.00","Qualified","90","1.25","Residential","2022","4140","$79.23","FONTAINBLEAU"
"051A010054","5220 SW WENDWOOD RD","4/23/2021","$260,000.00","Qualified","01","3.08","Residential","1971","1790","$145.25","DEER RUN"
"027A010406","2200 SW ANISE CT","2/22/2021","$335,000.00","Qualified","01","0.42","Residential","2005","3345","$100.15","HOLLY HILL"
"025A010072","852 SW APRIL DR","1/13/2021","$205,000.00","Qualified","01","0.74","Residential","1972","1796","$114.14","FOUR SEASON SUB"
"0300010224","2592 SW ABBEY RIDGE RD","3/4/2021","$340,000.00","Qualified","01","2.49","Residential","1987","2819","$120.61","EAST MILL FOREST/ABBEY"
"061001030B","2801 NE WHITE RD","5/12/2021","$195,000.00","Qualified","01","1.43","Residential","1997","1385","$140.79","TERRACE RIDGE SUB"
"C390010063","1739 A SE HUNTING CREEK DR","2/17/2021","$352,500.00","Qualified","01","0.0","Residential","1984","1044","$80.26","HUNTING CREEK TOWNHOMES"
"0490010084","3318 SE ROCKINGHAM CT","1/14/2021","$55,000.00","Qualified","90","0.7","Residential","2022","4358","$12.62","ROCKINGHAM"
"041B010304","1610 NW LARKSPUR TRL","2/23/2021","$180,000.00","Qualified","01","0.0","Residential","2019","1589","$113.28","PARKSIDE at TRAVERS CREEK"
"079C01090C","3277 SE OLD SALEM RD","1/6/2021","$72,000.00","Qualified","01","0.49","Residential","1986","1708","$42.15","SALEM LAKE SUB"
"0640010165","3019 NE GRANITE DR","1/26/2021","$139,900.00","Qualified","01","1.09","Residential","1990","1000","$139.90","GRANITE MTN FARMS"
"091A010109","3356 NE BARTLETT AVE","5/21/2021","$393,900.00","Qualified","01","0.0","Residential","2021","3564","$110.52","MCCART LANDING"
"0110010073","1485 SW KINGS POINT WAY","5/27/2021","$451,900.00","Qualified","01","0.76","Residential","2021","3916","$115.40","COVENTRY"
"0300010208","3565 SW EBENEZER RD","5/14/2021","$344,000.00","Qualified","01","3.09","Residential","1986","2439","$141.04","RURAL MAP 30"
"010D010182","2614 SW ABBOTT RD","3/30/2021","$282,595.00","Qualified","01","0.0","Residential","2020","1932","$146.27","ELLIS POINTE"
"046A010100","252 SE BROOKWOOD WAY","3/3/2021","$180,000.00","Qualified","01","0.79","Residential","1982","2415","$74.53","BROOKWOOD SOUTH"
"013001003B","3496 SW DANIELS BRIDGE RD","4/20/2021","$179,000.00","Qualified","01","3.0","Residential","1979","1986","$90.13","RURAL MAP 13"
"0680010073","1200 NE BROOKSTONE CIR","4/28/2021","$295,470.00","Qualified","01","0.28","Residential","2021","2964","$99.69","BROOKSTONE LAKES"
"0630170002","2101 NE HI ROC CIR","3/31/2021","$149,000.00","Qualified","01","0.17","Residential","1950","1011","$147.38","HI ROC"
"C390010044","1734 SE BOB WHITE LN","2/5/2021","$390,000.00","Qualified","01","0.0","Residential","1994","1116","$74.88","HUNTING CREEK TOWNHOMES"
"046B010035","2411 SE LOST VALLEY TR","1/27/2021","$439,000.00","Qualified","01","1.52","Residential","1986","3206","$136.93","LOST VALLEY"
"0300010215","2682 SW ABBEY RIDGE RD","1/25/2021","$277,500.00","Qualified","01","2.37","Residential","1987","2602","$106.65","EAST MILL FOREST/ABBEY"
"0210010045","2000 NW LESTER RD","3/25/2021","$222,000.00","Qualified","01","4.74","Residential","1984","2013","$110.28","RURAL MAP 21"
"0030010103","1621 SW PALMILLA WAY","4/7/2021","$90,000.00","Qualified","01","1.56","Residential","2022","9167","$9.82","GRAND CAYMAN ESTATES"
"028A010136","2624 SW HIGH ST","3/17/2021","$470,000.00","Qualified","01","0.65","Residential","1995","2807","$167.44","LOCHINVER"
"0660110021","1821 NE NEW ST","4/12/2021","$170,000.00","Qualified","01","2.73","Residential","1980","512","$79.59","RURAL MAP 66"
