"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"C370010026","1041 NW KINGSTON RD","1/28/2020","$95,000.00","Qualified","01","0.0","Residential","1971","1040","$91.35","NORTHRIDGE"
"0290020074","201 SW OLD MILL TRL","4/15/2020","$110,750.00","Qualified","01","0.2","Residential","1984","1950","$56.79","OLD MILL"
"0260010053","1913 SW STARR RD","6/26/2020","$179,000.00","Qualified","01","1.21","Residential","1963","1706","$104.92","GRANT C STARR"
"041B010231","2048 NW WILDFLOWER WAY","5/27/2020","$163,900.00","Qualified","01","0.0","Residential","2019","1589","$103.15","PARKSIDE at TRAVERS CREEK"
"036A010043","891 NW RAY DR","6/30/2020","$156,000.00","Qualified","01","0.66","Residential","1976","1711","$91.17","CREEKWOOD MANOR"
"051C010204","4824 SE NAVAJO TRL","2/21/2020","$135,000.00","Qualified","01","0.0","Residential","1987","1258","$107.31","CEDAR BROOK"
"079B010083","3292 SE OLD SALEM RD","6/16/2020","$146,000.00","Qualified","01","0.51","Residential","1972","1883","$77.54","ATLANTA SUBURBIA"
"049A010606","1001 SE MCCOY DR","3/31/2020","$260,000.00","Qualified","01","0.5","Residential","2001","2936","$88.56","LAKES AT HONEY CREEK"
"0780100021","845 SE SHERBROOKE DR","5/22/2020","$105,000.00","Qualified","01","0.0","Residential","1972","2188","$47.99","PINEWOOD SHORE"
"C080050005","1012 NW INSTITUTE ST","5/27/2020","$106,000.00","Qualified","01","0.23","Residential","1900","1684","$62.95","CITY MAP 08"
"0440030020","1812 SW WIGGINS CIR","5/29/2020","$179,500.00","Qualified","01","0.59","Residential","1977","2526","$71.06","FRANCIS HOLLOW"
"049A010570","3483 SE HONEYCOMB DR","3/30/2020","$199,000.00","Qualified","01","0.87","Residential","1988","2218","$89.72","HONEY CREEK"
"062A010086","2122 NE ARLIN ST","4/10/2020","$169,000.00","Qualified","01","0.0","Residential","1989","1335","$126.59","ARLINGTON WOODS SUB"
"0820020005","2210 NE BLACK SHOALS RD","5/29/2020","$63,000.00","Qualified","01","1.99","Residential","1957","1284","$49.07","RURAL MAP 82"
"041B010229","2056 NW WILDFLOWER WAY","4/27/2020","$163,900.00","Qualified","01","0.0","Residential","2019","1589","$103.15","PARKSIDE at TRAVERS CREEK"
"093C010118","1450 NE STEAM ENGINE WAY","1/31/2020","$152,000.00","Qualified","01","0.16","Residential","2007","1765","$86.12","OLD COVINGTON JUNC"
"012A010061","2896 SW BRIDLE CREEK DR","1/28/2020","$209,000.00","Qualified","01","0.7","Residential","1997","2087","$100.14","BRIDLE CREEK SUB"
"0690010044","1472 B NE PINE LOG RD","4/17/2020","$75,000.00","Qualified","01","0.0","Residential","1973","1232","$60.88","VIEW POINT EAST"
"0750010160","1402 SE SILVER SUMMIT DR","5/22/2020","$178,000.00","Qualified","01","0.0","Residential","2007","1775","$100.28","SILVER SUMMIT"
