"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"0690010377","2135 NE BELMONT CIR","8/16/2019","$138,000.00","Qualified","01","0.0","Residential","2018","1624","$84.98","BELMONT VILLAGE"
"0760020003","1775 SE FLAT SHOALS RD","8/30/2019","$220,000.00","Qualified","01","2.52","Residential","1969","3335","$65.97","RURAL MAP 76"
"012B010015","3105 SW VININGS WALK","10/28/2019","$68,900.00","Qualified","01","1.09","Residential","2022","5112","$13.48","KLONDIKE HEIGHTS"
"090B010053","1506 NE CHELSEA DOWNS DR","9/30/2019","$120,000.00","Qualified","01","0.35","Residential","1989","1656","$72.46","CHELSEA DOWNS SUB"
"0570030098","656 NW SIGMAN RD","9/23/2019","$375,000.00","Qualified","01","1.91","Residential","1990","5000","$0.00","DAYCARE CENTER"
"049A010638","1000 SE MCCOY DR","11/13/2019","$255,000.00","Qualified","01","0.59","Residential","2001","2841","$89.76","LAKES AT HONEY CREEK"
"092001040A","2655 NE GLENDALE DR","9/13/2019","$62,500.00","Qualified","01","2.36","Residential","1981","1612","$38.77","GLENDALE ACRES"
"027A010162","2121 SW ROLLING ACRES DR","7/16/2019","$171,000.00","Qualified","01","0.54","Residential","1972","1572","$108.78","HIDDEN ACRES1"
"047C010110","628 SE RALPH RD","9/4/2019","$55,000.00","Qualified","01","0.0","Residential","1972","1596","$34.46","LAKERIDGE"
"051C010204","4824 SE NAVAJO TRL","10/29/2019","$126,300.00","Qualified","01","0.0","Residential","1987","1258","$100.40","CEDAR BROOK"
"051B010006","1253 SE HIGHWAY 212","8/27/2019","$270,000.00","Qualified","01","0.72","Residential","1972","2116","$127.60","MEADOWBROOK SUBD"
"0280010026","1891 SW GRANADE RD","9/9/2019","$104,500.00","Qualified","01","1.12","Residential","1960","1129","$92.56","RURAL MAP 28"
"0660100005","1764 NE GREEN ST","8/28/2019","$90,000.00","Qualified","01","0.39","Residential","1910","1740","$51.72","MILLSTEAD VILLAGE"
"057B010111","130 NW HAWKEYE LN","9/19/2019","$114,000.00","Qualified","01","0.06","Residential","2003","1398","$81.55","CALLAWAY XING TH"
"051C010205","4826 SE NAVAJO TRL","7/22/2019","$135,000.00","Qualified","01","0.0","Residential","1987","1166","$115.78","CEDAR BROOK"
"0300010224","2592 SW ABBEY RIDGE RD","11/14/2019","$317,500.00","Qualified","01","2.49","Residential","1987","2819","$112.63","EAST MILL FOREST/ABBEY"
"077B010173","1133 SE JIMSON CIR","11/14/2019","$295,000.00","Qualified","01","1.08","Residential","1989","3594","$82.08","IRWIN PLACE"
"0690010374","2141 NE BELMONT CIR","9/20/2019","$140,490.00","Qualified","01","0.0","Residential","2018","1784","$78.75","BELMONT VILLAGE"
"050001030D","324 SE OGLESBY BRIDGE RD","8/5/2019","$122,000.00","Qualified","01","0.5","Residential","1986","1359","$89.77","RURAL MAP 50"
"041B010304","1610 NW LARKSPUR TRL","8/28/2019","$157,900.00","Qualified","01","0.0","Residential","2019","1589","$99.37","PARKSIDE at TRAVERS CREEK"
"0460010064","1925 SE HIGHWAY 20","11/8/2019","$135,000.00","Qualified","01","0.9","Commercial","2020","2077","$0.00","RETAIL STORES"
"054A010073","1267 NE COUNTRY LANE WAY","8/21/2019","$140,100.00","Qualified","01","0.47","Residential","1984","1248","$112.26","COUNTRY LANE EST"
"0630140028","2560 NE WINDING LAKE TRL","10/17/2019","$100,000.00","Qualified","01","0.54","Residential","1997","1404","$71.23","HI ROC"
"062A010076","2087 NE KINGS MOUNTAIN DR","8/9/2019","$150,800.00","Qualified","01","1.11","Residential","1980","1755","$85.93","KINGS MTN SUB"
"080B010211","4185 SE LANCE CIR","10/18/2019","$169,900.00","Qualified","01","0.51","Residential","1990","1537","$110.54","BRANDYWINE"
"0920010234","2524 NE PATTINGTON WAY","8/9/2019","$465,000.00","Qualified","01","1.39","Residential","2019","4719","$98.54","POINTE ROYAL"
"0750010129","500 SE SILVER SUMMIT DR","8/16/2019","$202,000.00","Qualified","01","0.0","Residential","2005","1794","$112.60","SILVER SUMMIT"
