"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"080A010145","1287 SE CARMAN CT","9/28/2018","$148,000.00","Qualified","01","0.0","Residential","1983","1650","$89.70","VILLAGE GREEN"
"079C010326","1740 SE UNDERWOOD DR","11/16/2018","$146,500.00","Qualified","01","0.29","Residential","1976","1257","$116.55","SALEM WOODS"
"032A010180","221 SE BRIDGEWOOD DR","8/29/2018","$1,992,398.00","Qualified","90","0.96","Residential","1990","1932","$1,031.26","BRADFORD"
"041B010265","1874 NW MILLSTREAM HOLLOW","7/30/2018","$152,900.00","Qualified","01","0.0","Residential","2018","1589","$96.22","PARKSIDE at TRAVERS CREEK"
"0690010336","2068 NE BELMONT CIR","9/27/2018","$135,990.00","Qualified","01","0.0","Residential","2018","1624","$83.74","BELMONT VILLAGE"
"047C010174","2914 SE LANDMARK DR","12/21/2018","$123,000.00","Qualified","01","0.34","Residential","1974","1593","$77.21","LAKERIDGE"
"064A010067","2307 NE PETTIT DR","9/27/2018","$167,000.00","Qualified","01","0.34","Residential","2002","1592","$104.90","RIVER RIDGE"
"041B010328","1752 NW MILLSTREAM HOLLOW","12/14/2018","$148,500.00","Qualified","01","0.0","Residential","2007","1938","$76.63","PARKSIDE at TRAVERS CREEK"
"077A020086","2619 SE COUNTRY TRCE","9/14/2018","$167,500.00","Qualified","01","0.26","Residential","1985","1680","$49.85","FIELDSTONE VIEW"
"077B010323","2710 SE WELLINGTON WAY","8/16/2018","$345,000.00","Qualified","01","0.88","Residential","1997","2872","$120.13","ANNSBROOKE"
"077C010003","1618 SE ELLINGTON RD","8/24/2018","$210,000.00","Qualified","01","0.0","Residential","1988","2444","$85.92","BRENTWOOD 123"
"051B010140","5053 SE LAKE FOREST DR","8/31/2018","$215,000.00","Qualified","01","0.49","Residential","1978","2741","$78.44","MEADOWBROOK SUBD"
"0920010202","2316 NE PRIME POINT","9/27/2018","$205,000.00","Qualified","01","0.0","Residential","2006","2892","$70.89","WESTBURY PARK"
"051A010156","1750 SW ELIZABETH CT","10/2/2018","$240,000.00","Qualified","01","0.92","Residential","1976","2516","$95.39","DEER RUN"
"010C010076","2705 SW LAUREL CHERRY LN","9/14/2018","$440,000.00","Qualified","01","0.39","Residential","2015","3561","$123.56","THE PARKS OF STONECREST"
"0770020096","2667 SE HARVEST DR","11/27/2018","$247,000.00","Qualified","01","0.61","Residential","1985","2616","$94.42","MARTHAS VINYARD"
"041B010259","1898 NW MILLSTREAM HOLLOW","12/28/2018","$144,650.00","Qualified","01","0.0","Residential","2018","1589","$91.03","PARKSIDE at TRAVERS CREEK"
"049B010102","4109 SE SWEET WATER LN","10/5/2018","$127,000.00","Qualified","01","0.0","Residential","1983","1339","$94.85","WILLOW CREEK"
"077D010066","1430 SE FALL RIVER DR","8/20/2018","$195,000.00","Qualified","01","0.37","Residential","1998","2736","$71.27","NANTUCKET SUMMIT"
"086A010041","3030 NE NORTH TOWER WAY","7/20/2018","$415,000.00","Qualified","01","1.34","Residential","1997","3716","$111.68","N HAMPTON SUB"
"090A010073","1282 NE CLASSIC DR","11/14/2018","$133,900.00","Qualified","01","0.5","Residential","1984","1526","$87.75","MOUNTAIN VALLEY EST"
"080C010225","3680 SE DRUIDS DR","7/31/2018","$205,000.00","Qualified","01","0.0","Residential","1993","2508","$81.74","DRUIDS KEEP"
"006001017B","4121 SW EAST FAIRVIEW RD","10/31/2018","$134,500.00","Qualified","01","0.95","Residential","1972","1914","$70.27","RURAL MAP 06"
"062A010094","2207 NE CLARENDON CT","9/18/2018","$184,000.00","Qualified","01","0.0","Residential","2006","1714","$107.35","ARLINGTON WOODS SUB"
"041B010260","1894 NW MILLSTREAM HOLLOW","9/25/2018","$144,400.00","Qualified","01","0.0","Residential","2018","1589","$90.87","PARKSIDE at TRAVERS CREEK"
"0360040003","2844 NW ALMAND CT","10/22/2018","$180,000.00","Qualified","01","1.6","Residential","1975","1700","$105.88","ALMOND EST"
"0420010023","1523 NW MOUNTAIN VIEW CIR","8/29/2018","$1,992,398.00","Qualified","90","0.43","Residential","1969","1352","$1,473.67","HIGHTOWER HILLS SUB"
"049B010058","530 SE COWAN RD","11/7/2018","$137,000.00","Qualified","01","0.0","Residential","1973","1220","$112.30","ROLLING GREENS"
"0070010134","3505 SW PEBBLE BROOK LN","12/18/2018","$207,000.00","Qualified","01","1.01","Residential","2003","2191","$94.48","LIMBERLOST FARMS"
"0630010012","2106 NE HI ROC CIR","9/25/2018","$114,000.00","Qualified","01","0.17","Residential","1973","1104","$103.26","HI ROC"
"041B010262","1886 NW MILLSTREAM HOLLOW","7/17/2018","$148,900.00","Qualified","01","0.0","Residential","2018","1589","$93.71","PARKSIDE at TRAVERS CREEK"
"031A010041","1608 SW QUAIL RUN","7/20/2018","$199,900.00","Qualified","01","0.6","Residential","1988","1670","$119.70","QUAIL RUN"
"079D010213","1513 SE WINDY OAKS CT","12/5/2018","$165,000.00","Qualified","01","0.74","Residential","1991","1732","$95.27","HONEY SPRINGS"
"045B010262","1642 SW SUGARMAPLE DR","7/24/2018","$119,000.00","Qualified","01","0.3","Residential","1988","1358","$87.63","SUGAR HILL and PINE VIEW"
"031A010069","3859 SW SETTERS TRL","9/27/2018","$145,274.00","Qualified","01","0.35","Residential","1985","1592","$91.25","QUAIL RUN"
"064B010109","2445 NE PLANTER'S MILL WAY","10/31/2018","$263,990.00","Qualified","01","0.25","Residential","2018","2450","$107.75","HARVEST MILL"
