"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"0140040029","3260 SW TUCKER MILL RD","7/22/2021","$234,900.00","Qualified","01","2.97","Residential","1970","2582","$90.98","DEER HOLLOW"
"077D010026","1301 SE KAY TERR","8/12/2021","$290,000.00","Qualified","01","0.0","Residential","1993","2304","$125.87","NANTUCKET"
"0890010070","2794 NE SADDLE TRL","8/26/2021","$481,500.00","Qualified","01","0.32","Residential","2021","4431","$108.67","CENTENNIAL VILLAGE"
"C380010137","1738 NW PACER PL","8/20/2021","$230,000.00","Qualified","01","0.0","Residential","1974","1275","$180.39","NORTHRIDGE"
"047C010174","2914 SE LANDMARK DR","9/30/2021","$192,139.00","Qualified","01","0.34","Residential","1974","1593","$120.61","LAKERIDGE"
"0690020027","1450 NE BIG BEAR CV","8/31/2021","$130,000.00","Qualified","01","0.0","Residential","1986","1296","$100.31","HUNTERS POINT"
"0780070035","833 SE VIRGINIA CT","6/16/2021","$250,000.00","Qualified","01","1.3","Residential","1970","2576","$97.05","PINEWOOD SHORE"
"0680010068","1310 NE BROOKSTONE LAKE DR","6/17/2021","$316,770.00","Qualified","01","0.24","Residential","2021","2619","$120.95","BROOKSTONE LAKES"
"010C010076","2705 SW LAUREL CHERRY LN","7/28/2021","$460,500.00","Qualified","01","0.39","Residential","2015","3561","$129.32","THE PARKS OF STONECREST"
"079C010028","3360 SE SPRING CREEK DR","9/28/2021","$189,150.00","Qualified","01","0.39","Residential","1983","1588","$119.11","SALEM EAST"
"036A010011","3063 NW KATHY LN","9/8/2021","$92,000.00","Qualified","01","0.52","Residential","1975","1304","$70.55","CREEKWOOD MANOR"
"0820020005","2210 NE BLACK SHOALS RD","6/30/2021","$120,000.00","Qualified","01","1.99","Residential","1957","1284","$93.46","RURAL MAP 82"
"008A010054","3148 SW JACKSON CREEK DR","7/19/2021","$432,900.00","Qualified","01","1.49","Residential","2021","3751","$115.41","JACKSON CREEK"
"075A010111","1274 SE WHITE OAK ST","8/17/2021","$265,000.00","Qualified","01","0.46","Residential","1971","1782","$148.71","PINE FOREST SD"
"056A010001","1701 NW OLD CAMP TRL","8/24/2021","$230,000.00","Qualified","01","0.46","Residential","1977","1430","$160.84","HUNTERS HOLLOW"
"093B010059","2493 SE HIGHLAND DR","6/24/2021","$293,000.00","Qualified","01","0.47","Residential","1973","2830","$103.53","FIELDSTONE"
"0920010044","2545 NE GLENDALE DR","9/17/2021","$126,000.00","Qualified","01","0.0","Residential","1985","1734","$72.66","GLENDALE ACRES"
"0660080001","1680 NE HILL ST","6/8/2021","$160,000.00","Qualified","01","0.36","Residential","1979","1028","$155.64","MILLSTEAD VILLAGE"
"C380010176","1797 NW WESLEY WAY","8/6/2021","$195,000.00","Qualified","01","0.0","Residential","1979","1596","$122.18","LAUREL RIDGE"
