"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"0680010191","1344 NE SLATON MANOR DR","9/12/2022","$395,000.00","Qualified","01","0.18","Residential","2022","2456","$160.83","CREEKSIDE AT OLD TOWNE CONYERS"
"077B010241","2631 SE WELLINGTON WAY","9/27/2022","$449,900.00","Qualified","01","0.64","Residential","1993","3212","$140.07","ANNSBROOKE"
"079D010070","2712 SE WHITECREST CIR","9/13/2022","$430,000.00","Qualified","01","0.0","Residential","1997","2872","$149.72","WESTCHESTER LAKE"
"077B010358","2009 SE HARDWICK CT","9/20/2022","$520,000.00","Qualified","01","0.79","Residential","1997","3520","$147.73","ANNSBROOKE"
"011A010082","2710 SW TURNER VALLEY CIR","12/27/2022","$210,000.00","Qualified","01","0.66","Residential","1976","2249","$93.37","TURNER VALLEY SUB"
"049B010078","4092 SE SWEET WATER CT","12/29/2022","$140,000.00","Qualified","01","0.0","Residential","1976","1294","$108.19","WILLOW CREEK"
"093D010059","4200 SE DALE COVE","9/22/2022","$340,000.00","Qualified","01","0.0","Residential","2017","1834","$185.39","AVONDALE SPRINGS -NEW"
"046A010010","314 SE MORRIS DR","10/21/2022","$95,000.00","Qualified","01","0.27","Residential","1985","1153","$82.39","STANTON RIDGE"
"075A010033","1585 SE OLD SALEM RD","9/9/2022","$195,000.00","Qualified","01","0.45","Residential","1969","2326","$83.83","PINE FOREST SD"
"076A020008","1236 SE LAMBETH WAY","10/24/2022","$280,000.00","Qualified","01","0.48","Residential","1987","2257","$124.06","LAMBETH ESTATES"
"033A010008","1018 SW RIVERCLIFT DR","11/14/2022","$238,900.00","Qualified","01","0.58","Residential","1999","1816","$131.55","RIVERCLIFT"
"054A010112","2980 NE DAVID LN","12/28/2022","$110,000.00","Qualified","01","0.5","Residential","1985","1314","$83.71","COUNTRY LANE EST"
"041B010229","2056 NW WILDFLOWER WAY","9/26/2022","$255,000.00","Qualified","01","0.0","Residential","2019","1589","$160.48","PARKSIDE at TRAVERS CREEK"
"0380010012","2550 NW FARMER RD","11/22/2022","$140,000.00","Qualified","01","2.47","Residential","1930","1364","$102.64","RURAL MAP 38"
"047C010216","619 SE LAKERIDGE DR","11/29/2022","$140,000.00","Qualified","01","0.0","Residential","1984","1002","$139.72","LAKERIDGE"
"032A010032","187 SE GREENBRIAR CT","11/30/2022","$184,500.00","Qualified","01","0.48","Residential","1973","1922","$95.99","FLINTRIDGE EST"
"0370010052","3160 NW HAMMOCK CREEK CT","9/16/2022","$120,000.00","Qualified","01","1.8","Residential","1979","1540","$77.92","HAMMOCK CREEK SUB"
"049B010203","3980 SE CUMBERLAND TRL","11/28/2022","$269,400.00","Qualified","01","0.0","Residential","1993","2104","$128.04","CUMBERLAND PINES"
"050A010355","721 SW LYNN MILAM LN","10/14/2022","$330,000.00","Qualified","01","0.53","Residential","2000","2866","$115.14","MARTINGALE"
"049A010147","3560 SE SAND HILL DR","11/28/2022","$220,000.00","Qualified","01","0.45","Residential","1979","2184","$100.73","HONEY CREEK"
"C380010159","943 NW SIGMAN RD","12/27/2022","$165,000.00","Qualified","01","0.0","Residential","1977","1858","$88.81","NORTHRIDGE"
"0180020022","2902 NW BARCELONA WAY","11/28/2022","$207,000.00","Qualified","01","0.46","Residential","1973","2510","$82.47","LAKE CAPRI"
"C35002035A","1173 NE CARDINAL RD","10/20/2022","$163,000.00","Qualified","01","0.31","Residential","1975","1300","$125.38","PLANTATION DEV and ACRES"
"038A010108","2780 NW WESTMINISTER LN","10/7/2022","$195,000.00","Qualified","01","0.59","Residential","1977","1575","$123.81","PACES LANDING"
"058001015H","313 NW PLEASANT HILL RD","11/4/2022","$185,000.00","Qualified","01","2.23","Residential","1935","1344","$137.65","RURAL MAP 58"
"049B010014","3999 SE SUGAR VALLEY CT","12/27/2022","$258,500.00","Qualified","01","0.0","Residential","1975","1734","$149.08","ROLLING GREENS"
"080C010093","2402 SE SCARLET LN","9/21/2022","$304,750.00","Qualified","01","0.37","Residential","1989","2277","$133.84","STONEY BROOK"
"012A010092","2932 SW BRIDLE CREEK DR","12/28/2022","$252,000.00","Qualified","01","0.46","Residential","1999","2358","$106.87","BRIDLE CREEK SUB"
"080A010206","1738 SE BRANDY WOODS DR","12/16/2022","$209,800.00","Qualified","01","0.47","Residential","1984","2129","$98.54","BRANDYWINE"
"010D010182","2614 SW ABBOTT RD","10/21/2022","$303,600.00","Qualified","01","0.0","Residential","2020","1932","$157.14","ELLIS POINTE"
"0210010079","1840 NW KINGS ROW","11/10/2022","$685,000.00","Qualified","01","1.06","Residential","2007","4363","$157.00","ROYAL LAKE ESTATES"
"030001095C","3313 SW MILL FOREST DR","9/15/2022","$483,800.00","Qualified","01","1.5","Residential","2003","3446","$140.39","EAST MILL FOREST U1"
"054A010139","2820 NE COUNTRY BROOK CT","10/12/2022","$154,000.00","Qualified","01","0.0","Residential","2002","1620","$95.06","COUNTRY LANE EST"
"051C010262","5310 SE ASHLEY DR","9/26/2022","$370,000.00","Qualified","01","1.47","Residential","1990","1988","$186.12","ASHLEY TRACE"
"050A010132","1077 SE PLANTATION BLVD","11/4/2022","$184,000.00","Qualified","01","0.46","Residential","1989","1661","$110.78","PLANTATION WOODS"
"031A010069","3859 SW SETTERS TRL","9/28/2022","$262,000.00","Qualified","01","0.35","Residential","1985","1592","$164.57","QUAIL RUN"
"0690010026","1462 A NE PINE LOG RD","9/16/2022","$95,000.00","Qualified","01","0.0","Residential","1973","1232","$77.11","VIEW POINT EAST"
"093D010087","4004 SE CLAY CT","9/2/2022","$273,000.00","Qualified","01","0.0","Residential","2008","3175","$85.98","AVONDALE SPRINGS-OLD"
"0630150001","2161 NE HI ROC CIR","9/9/2022","$110,000.00","Qualified","01","0.22","Residential","1989","1528","$71.99","HI ROC"
"0640010503","1472 NE QUEENIE SMITH RD","11/26/2022","$240,000.00","Qualified","01","0.0","Residential","2006","2882","$83.28","RIVER CLUB at B  T"
"0330010016","332 SW BUCKINGHAM DR","10/5/2022","$299,000.00","Qualified","01","1.63","Residential","1978","1856","$161.10","BUCKINGHAM"
"010A010011","2395 SW TURNER RD","11/8/2022","$140,000.00","Qualified","01","0.58","Residential","1995","1401","$99.93","STONELEIGH SUB"
"031A010080","3879 SW PARTRIDGE PL","10/19/2022","$250,300.00","Qualified","01","0.24","Residential","1985","2078","$120.45","QUAIL RUN"
"046B010382","2340 SE WELDON RD","11/10/2022","$307,100.00","Qualified","01","0.0","Residential","1994","2464","$124.63","WEATHERSTONE"
"0860010022","2865 NE WHITE CT","9/22/2022","$240,000.00","Qualified","01","3.0","Residential","1975","2132","$112.57","WHITE HILL"
"077B010084","991 SE JIMSON DR","10/20/2022","$370,600.00","Qualified","01","0.97","Residential","1989","2887","$128.37","IRWIN PLACE"
"0640010104","1705 NE RIVERSIDE CT","10/27/2022","$249,900.00","Qualified","01","0.94","Residential","1988","1188","$105.18","RIVERCHASE TWH"
"032A010036","188 SE GREENBRIAR CT","11/7/2022","$300,000.00","Qualified","01","0.41","Residential","1973","2357","$127.28","FLINTRIDGE EST"
"049B010146","448 SE VALLEY WOODS CIR","11/8/2022","$150,000.00","Qualified","01","0.0","Residential","1984","1467","$102.25","ROLLING GREENS"
"0680010195","1328 NE SLATON MANOR DR","10/14/2022","$378,500.00","Qualified","01","0.17","Residential","2022","2036","$185.90","CREEKSIDE AT OLD TOWNE CONYERS"
"045B010145","1601 SW CHERRY HILL RD","9/6/2022","$179,000.00","Qualified","01","0.25","Residential","1986","1323","$135.30","SUGAR HILL and PINE VIEW"
"C060010003","1073 NW LAUREL LN","12/22/2022","$196,000.00","Qualified","01","0.34","Residential","1969","1892","$103.59","HIGHLAND PARK"
"011A010114","2705 SW TURNER VALLEY CT","9/6/2022","$145,000.00","Qualified","01","0.24","Residential","1975","2118","$68.46","TURNER VALLEY SUB"
"0630150033","2475 NE WOODS CT","11/28/2022","$115,000.00","Qualified","90","0.18","Residential","1967","1096","$104.93","HI ROC"
"C350020048","911 NE DOVE CT","10/19/2022","$170,300.00","Qualified","01","0.41","Residential","1967","1467","$116.09","PLANTATION DEV and ACRES"
"093B010121","2426 SE FIELDSTONE DR","10/27/2022","$200,000.00","Qualified","01","0.65","Residential","1978","2446","$81.77","FIELDSTONE"
"C06004016A","1034 NW GREEN VALLEY DR","12/30/2022","$130,000.00","Qualified","01","0.0","Residential","1985","1053","$123.46","CONYERS STATION"
"049A010187","670 SE SUGAR HILL LN","12/30/2022","$269,000.00","Qualified","01","0.36","Residential","1979","2360","$113.98","HONEY CREEK"
"C39001134A","653 SE BROWNING LN","12/30/2022","$160,000.00","Qualified","01","0.0","Residential","1988","1080","$148.15","HUNTING CREEK TOWNHOMES"
"077D010007","1250 SE KAY TERR","12/30/2022","$339,999.00","Qualified","01","0.56","Residential","1994","2072","$164.09","NANTUCKET"
"C060040016","1036 NW GREEN VALLEY DR","12/30/2022","$130,000.00","Qualified","01","0.0","Residential","1985","1160","$112.07","CONYERS STATION"
"0070010128","3496 SW PEBBLE BROOK LN","12/30/2022","$315,000.00","Qualified","01","1.59","Residential","1997","1964","$160.39","LIMBERLOST FARMS"
"047C010331","2914 SE STANTON RD","12/30/2022","$521,625.00","Qualified","90","0.48","Residential","1985","2378","$219.35","STANTON and LANDM"
"0640010213","1750 NE RIVERCHASE CIR","12/30/2022","$521,625.00","Qualified","90","0.11","Residential","2001","1739","$299.96","STONES THROW SUB"
"093B010118","2462 SE FIELDSTONE DR","12/30/2022","$285,000.00","Qualified","01","0.48","Residential","1977","2391","$119.20","FIELDSTONE"
"0480010142","3300 SE SQUIRE LN","12/29/2022","$325,000.00","Qualified","01","1.6","Residential","1980","2386","$136.21","BENT CREEK"
"050001022A","116 SE CROWELL RD","12/29/2022","$200,000.00","Qualified","01","1.29","Residential","1964","1294","$154.56","RURAL MAP 50"
"025A010060","2277 SW APRIL DR","12/28/2022","$225,000.00","Qualified","01","0.76","Residential","1972","1890","$119.05","FOUR SEASON SUB"
"060001004C","3621 NE ZINGARA RD","12/28/2022","$120,000.00","Qualified","01","1.0","Residential","1977","1371","$87.53","RURAL MAP 60"
"051A010238","5515 SW DEER RUN DR","12/28/2022","$250,000.00","Qualified","01","1.06","Residential","1985","2089","$119.67","DEER RUN"
"062A010010","2581 NE KING LOUIS RD","12/28/2022","$165,000.00","Qualified","01","1.18","Residential","1985","1792","$92.08","KINGS MTN SUB"
"029002010B","3021 SE EBENEZER RD","12/27/2022","$465,000.00","Qualified","01","1.85","Residential","1975","2392","$194.40","RURAL MAP 29"
