"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"0630180044","2520 NE PINEWOOD DR","11/4/2021","$200,000.00","Qualified","01","0.27","Residential","1973","1824","$109.65","HI ROC"
"0660020003","1544 NE BROAD ST","10/1/2021","$52,700.00","Qualified","01","0.0","Residential","1910","1320","$39.92","MILLSTEAD VILLAGE"
"0680010191","1344 NE SLATON MANOR DR","12/30/2021","$1,158,000.00","Qualified","90","0.18","Residential","2022","2456","$471.50","CREEKSIDE AT OLD TOWNE CONYERS"
"0060010004","2618 SW UNION CHURCH RD","10/21/2021","$112,000.00","Qualified","01","0.69","Residential","1948","1496","$74.87","RURAL MAP 06"
"047C010110","628 SE RALPH RD","10/4/2021","$245,500.00","Qualified","01","0.0","Residential","1972","1596","$153.82","LAKERIDGE"
"047C010393","2755 SE STANTON WOODS DR","10/1/2021","$195,800.00","Qualified","01","0.3","Residential","1980","1332","$147.00","STANTON and LANDM"
"062A010028","2630 NE KING GEORGE CT","11/24/2021","$220,000.00","Qualified","01","2.53","Residential","1987","1796","$122.49","KINGS MTN SUB"
"090A010033","2189 NE PINE KNOLL CIR","11/12/2021","$293,000.00","Qualified","01","0.54","Residential","1972","1882","$155.69","MOUNTAIN VALLEY EST"
"C100020006","1106 SW VEAL ST","12/6/2021","$66,000.00","Qualified","01","0.26","Residential","1959","848","$77.83","CITY MAP 10"
"093C010129","1472 NE STEAM ENGINE WAY","12/3/2021","$238,900.00","Qualified","01","0.25","Residential","2006","1520","$157.17","OLD COVINGTON JUNC"
"045B010218","1464 SW CHERRY HILL RD","10/28/2021","$190,000.00","Qualified","01","0.58","Residential","1988","1400","$135.71","SUGAR HILL and PINE VIEW"
"0660050006","1616 NE PARK ST","10/29/2021","$175,000.00","Qualified","01","0.0","Residential","1900","1178","$148.56","MILLSTEAD VILLAGE"
"0640010251","1830 NE RIVERCHASE CIR","11/15/2021","$217,000.00","Qualified","01","0.35","Residential","1996","1479","$146.72","STONES THROW SUB"
"047C010076","3011 SE RAINTREE DR","11/15/2021","$221,000.00","Qualified","01","0.0","Residential","1975","1700","$130.00","RAINTREE"
"077A02037D","2137 D SE HICKORY BEND","10/28/2021","$138,491.00","Qualified","01","0.0","Residential","1998","1166","$118.77","FIELDSTONE VIEW"
"051C010265","5304 SE ASHLEY DR","10/4/2021","$340,000.00","Qualified","01","1.33","Residential","1989","2028","$167.65","ASHLEY TRACE"
"0900010012","2111 NE HIGHWAY 138","12/7/2021","$147,000.00","Qualified","01","1.03","Residential","1976","1280","$114.84","RURAL MAP 90"
"047C010167","2974 SE LANDMARK DR","10/28/2021","$199,000.00","Qualified","01","0.33","Residential","1983","1430","$139.16","LAKERIDGE"
"031A010041","1608 SW QUAIL RUN","11/16/2021","$260,000.00","Qualified","01","0.6","Residential","1988","1670","$155.69","QUAIL RUN"
"054A010070","1297 NE COUNTRY LANE WAY","12/23/2021","$204,000.00","Qualified","01","0.47","Residential","1984","1247","$163.59","COUNTRY LANE EST"
"047C010207","596 SE LAKERIDGE CIR","11/9/2021","$195,000.00","Qualified","01","0.45","Residential","1980","1272","$153.30","LAKERIDGE"
