"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"041B010312","1654 NW LARKSPUR TRL","6/26/2019","$153,900.00","Qualified","01","0.0","Residential","2019","1589","$96.85","PARKSIDE at TRAVERS CREEK"
"0140020130","3300 SW WESTBOROUGH LN","5/31/2019","$429,900.00","Qualified","01","0.7","Residential","2018","3564","$120.62","MONTCLAIR ESTATES"
"0450010025","1881 SW EBENEZER RD","3/12/2019","$285,000.00","Qualified","90","8.21","Residential","1952","1086","$262.43","RURAL MAP 45"
"0890010037","2815 NE VILLAGE CT","4/30/2019","$323,290.00","Qualified","01","0.38","Residential","2018","3258","$99.23","CENTENNIAL VILLAGE"
"008001008E","4540 SW HIGHWAY 138","6/27/2019","$195,000.00","Qualified","01","4.82","Residential","1972","1438","$135.61","RURAL MAP 08"
"008A010082","3121 SW JACKSON CREEK DR","4/25/2019","$256,000.00","Qualified","01","0.73","Residential","2004","2747","$93.19","JACKSON CREEK"
"0690010333","2062 NE BELMONT CIR","6/4/2019","$139,490.00","Qualified","01","0.0","Residential","2018","1784","$78.19","BELMONT VILLAGE"
"028A010349","2527 SW HOPE DR","4/26/2019","$350,000.00","Qualified","01","1.39","Residential","2004","3261","$107.33","GRACELAND ESTATES"
"028B010021","3137 SW BRIGHTON PASS","4/19/2019","$245,000.00","Qualified","01","0.59","Residential","2006","3231","$75.83","BRIGHTON ESTATES"
"031B010005","4225 SW OLD WOOD DR","4/11/2019","$282,000.00","Qualified","01","0.59","Residential","2001","2156","$130.80","SOUTH RIDGE OLD"
"064A010004","2443 NE HI ROC RD","2/26/2019","$94,500.00","Qualified","01","0.99","Residential","1987","1376","$68.68","RIVER SPRINGS"
"050001009A","845 SE COWAN RD","1/16/2019","$145,000.00","Qualified","90","0.79","Residential","1964","1305","$111.11","RURAL MAP 50"
"C090020122","2089 SW APPALOOSA WAY","1/30/2019","$150,000.00","Qualified","01","0.0","Residential","2006","1482","$101.21","BRIDLE RIDGE WALK"
"051C010265","5304 SE ASHLEY DR","3/18/2019","$198,900.00","Qualified","01","1.33","Residential","1989","2028","$98.08","ASHLEY TRACE"
"047C010055","815 SE BRIDGEWATER WAY","4/19/2019","$115,000.00","Qualified","01","0.0","Residential","1978","1068","$107.68","RAINTREE"
"049A010360","560 SE CLUBHOUSE DR","6/3/2019","$204,000.00","Qualified","01","0.43","Residential","1980","2621","$77.83","HONEY CREEK"
"051B010306","4637 SE HAMLET WALK","5/30/2019","$154,000.00","Qualified","01","0.25","Residential","1986","1084","$142.07","BRISTOL BUDDY DAWSON"
"050001009F","815 SE COWAN RD","1/16/2019","$145,000.00","Qualified","90","3.1","Residential","1973","2148","$67.50","RURAL MAP 50"
"C380010133","1721 NW PACER PL","2/15/2019","$112,000.00","Qualified","01","0.0","Residential","1977","1824","$61.40","NORTHRIDGE"
"047C010136","615 SE LAKERIDGE CIR","1/29/2019","$344,057.00","Qualified","90","0.23","Residential","1983","1086","$316.81","LAKERIDGE"
"055001075A","2305 NW WILSON RD","3/15/2019","$99,900.00","Qualified","01","0.47","Residential","1973","1200","$83.25","RURAL MAP 55"
"054A010139","2820 NE COUNTRY BROOK CT","2/21/2019","$120,000.00","Qualified","01","0.0","Residential","2002","1620","$74.07","COUNTRY LANE EST"
"045B010040","1603 SW CHERRY HILL CT","5/31/2019","$144,000.00","Qualified","01","0.24","Residential","1985","1248","$115.38","SUGAR HILL and PINE VIEW"
"031A010069","3859 SW SETTERS TRL","3/1/2019","$177,500.00","Qualified","01","0.35","Residential","1985","1592","$111.49","QUAIL RUN"
"0690010373","2143 NE BELMONT CIR","3/29/2019","$136,490.00","Qualified","01","0.0","Residential","2018","1624","$84.05","BELMONT VILLAGE"
"080B010189","3811 SE EDEN GLEN DR","2/20/2019","$165,000.00","Qualified","01","0.0","Residential","1987","1706","$96.72","EDEN GLEN"
"054A010081","1290 NE COUNTRY LANE WAY","4/17/2019","$128,000.00","Qualified","01","0.46","Residential","1983","1512","$84.66","COUNTRY LANE EST"
"0690010231","1042 NE WEDGEWOOD CT","6/6/2019","$129,400.00","Qualified","01","0.0","Residential","2008","1470","$88.03","BELMONT VILLAGE"
"090B010109","2401 NE SHOALS DR","3/1/2019","$139,900.00","Qualified","01","0.37","Residential","1989","1298","$107.78","WINDRIDGE SUB"
"062A010116","2125 NE ARLIN ST","3/29/2019","$162,000.00","Qualified","01","0.0","Residential","1989","1478","$109.61","ARLINGTON WOODS SUB"
"032B010060","4816 SW CAMDEN DR","5/31/2019","$204,000.00","Qualified","01","0.0","Residential","1997","1866","$109.32","MANCHESTER"
"047C010215","629 SE LAKERIDGE DR","4/18/2019","$119,900.00","Qualified","01","0.26","Residential","1984","1170","$102.48","LAKERIDGE"
"031B010112","2828 SW HAVENWOOD DR","2/28/2019","$318,000.00","Qualified","01","0.6","Residential","2006","3075","$103.41","SOUTH RIDGE NEW"
"0660010008","1730 NE MAIN ST","2/7/2019","$61,750.00","Qualified","01","1.28","Residential","1900","3840","$16.08","MILLSTEAD VILLAGE"
"011A010046","926 SW HAVENRIDGE DR","6/28/2019","$157,500.00","Qualified","01","1.02","Residential","1977","1606","$98.07","HAVENRIDGE SUB"
"049A010238","898 SE SWEET BRIAR TRL","2/15/2019","$174,000.00","Qualified","01","0.46","Residential","1977","2178","$79.89","HONEY CREEK"
"077D010269","1366 SE FALL RIVER DR","3/28/2019","$287,000.00","Qualified","01","0.37","Residential","2005","3201","$89.66","FOUNTAINCREST"
"057B010033","164 NW ODYSSEY TURN","4/24/2019","$117,500.00","Qualified","01","0.06","Residential","2005","1714","$68.55","CALLAWAY XING TH"
"077D010289","1128 SE FOUNTAIN CREST DR","5/20/2019","$298,000.00","Qualified","01","0.38","Residential","2003","3379","$88.19","FOUNTAINCREST"
"041B010162","1817 NW MILLSTREAM HOLLOW","3/8/2019","$149,900.00","Qualified","01","0.0","Residential","2018","1589","$94.34","PARKSIDE at TRAVERS CREEK"
"080A010001","4341 SE FAYE CT","4/30/2019","$144,000.00","Qualified","01","0.83","Residential","1974","1667","$86.38","VILLAGE GREEN"
"C390010004","576 SE DOVETAIL CT","2/13/2019","$114,000.00","Qualified","01","0.14","Residential","1983","1000","$114.00","HUNTING CREEK HOMES"
"051C010127","797 SE GREENWOOD TRL","3/5/2019","$142,000.00","Qualified","01","0.0","Residential","1982","1380","$102.90","CEDAR BROOK"
"032A010045","4775 SE COLD CREEK WAY","3/22/2019","$122,000.00","Qualified","01","0.52","Residential","1973","1400","$87.14","FLINTRIDGE EST"
"041B010311","1650 NW LARKSPUR TRL","5/30/2019","$153,900.00","Qualified","01","0.0","Residential","2019","1589","$96.85","PARKSIDE at TRAVERS CREEK"
"0690010325","2046 NE REAVIS BLUFF","2/27/2019","$139,490.00","Qualified","01","0.0","Residential","2018","1784","$78.19","BELMONT VILLAGE"
"0690010033","1464 D NE PINE LOG RD","3/18/2019","$65,000.00","Qualified","01","0.0","Residential","1973","1256","$51.75","VIEW POINT EAST"
"051B010112","4854 SE LAKE FOREST DR","5/1/2019","$182,000.00","Qualified","01","0.5","Residential","1986","1788","$101.79","MEADOWBROOK SUBD"
"080C010152","2503 SE TIFFANY CT","5/10/2019","$184,900.00","Qualified","01","0.0","Residential","1988","1980","$93.38","STONEY BROOK"
"079C010282","1669 SE UNDERWOOD DR","1/24/2019","$144,400.00","Qualified","01","0.0","Residential","1984","1632","$88.48","SALEM WOODS"
"0070010082","3609 SW SIERRA DR","5/10/2019","$207,000.00","Qualified","01","1.08","Residential","1989","2446","$84.63","SIERRA VIEW"
"0920010267","2517 NE PATTINGTON WAY","6/27/2019","$439,000.00","Qualified","01","0.95","Residential","2009","3698","$118.71","POINTE ROYAL"
"041B010209","2017 NW MILLSTREAM HOLLOW","6/24/2019","$145,000.00","Qualified","01","0.0","Residential","2017","1589","$91.25","PARKSIDE at TRAVERS CREEK"
"0690010478","1526 NE PACEVILLE CT","3/28/2019","$180,000.00","Qualified","01","0.36","Residential","2006","3402","$52.91","ST JULIANS PLACE"
"076A010036","2128 SE KING FOREST DR","1/16/2019","$90,000.00","Qualified","01","0.45","Residential","1971","1782","$50.51","KINGS FOREST"
"0690010303","2000 NE BRIAR CREEK CT","6/28/2019","$120,000.00","Qualified","01","0.0","Residential","2006","2341","$51.26","BELMONT VILLAGE"
"077D010329","1524 SE MONTAUK POINT","5/29/2019","$265,000.00","Qualified","01","0.4","Residential","2006","3286","$80.65","FOUNTAINCREST"
"0780100013","864 SE RICHMOND CT","3/21/2019","$135,500.00","Qualified","01","0.0","Residential","1975","1646","$82.32","PINEWOOD SHORE"
"077D010192","1541 SE MONTAUK POINT","5/31/2019","$300,000.00","Qualified","01","0.49","Residential","2005","3278","$91.52","FOUNTAINCREST"
"091A010032","3339 NE BARTLETT AVE","3/27/2019","$386,900.00","Qualified","01","0.0","Residential","2018","4230","$91.47","MCCART LANDING"
"C060040007","1400 NW SPRINGWOOD DR","5/31/2019","$230,000.00","Qualified","01","0.67","Residential","1970","2670","$86.14","CITY MAP 06"
"090B010104","2441 NE SHOALS DR","4/24/2019","$124,900.00","Qualified","01","0.28","Residential","1989","1620","$77.10","WINDRIDGE SUB"
"079D010489","4001 SE BRIAN'S CT","4/15/2019","$280,000.00","Qualified","01","0.37","Residential","2001","2630","$106.46","WESTCHESTER LAKE"
"045A010032","1706 SW ALMAND CREEK DR","4/22/2019","$112,000.00","Qualified","01","0.26","Residential","1981","1205","$92.95","ALMAND CREEK SUB"
"0140010035","2865 SW TUCKER MILL RD","2/13/2019","$283,000.00","Qualified","01","1.52","Residential","2005","4426","$63.94","RURAL MAP 14"
"077C010230","1822 SE THORNHILL PASS","6/21/2019","$235,000.00","Qualified","01","0.0","Residential","1996","2845","$82.60","BRENTWOOD 123"
"0690010356","2108 NE BELMONT CIR","3/29/2019","$139,990.00","Qualified","01","0.0","Residential","2018","1784","$78.47","BELMONT VILLAGE"
"028A010106","2307 SW LOCHINVER LN","4/16/2019","$340,000.00","Qualified","01","0.6","Residential","1997","2641","$128.74","LOCHINVER"
"0690010387","2101 NE BELMONT CIR","3/20/2019","$140,490.00","Qualified","01","0.0","Residential","2018","1784","$78.75","BELMONT VILLAGE"
"079D010197","1402 SE WINDY HILL CT","1/11/2019","$143,000.00","Qualified","01","0.46","Residential","1992","1514","$94.45","HONEY SPRINGS"
"0890010035","2904 NE CENTENNIAL DR","5/29/2019","$362,370.00","Qualified","01","0.36","Residential","2019","3478","$104.19","CENTENNIAL VILLAGE"
"0890010036","2811 NE VILLAGE CT","4/1/2019","$285,340.00","Qualified","01","0.34","Residential","2018","2961","$96.37","CENTENNIAL VILLAGE"
"0690010364","2124 NE BELMONT CIR","2/28/2019","$141,490.00","Qualified","01","0.0","Residential","2018","1784","$79.31","BELMONT VILLAGE"
"079D010570","2135 SE SABLESHIRE WAY","3/29/2019","$322,000.00","Qualified","01","0.0","Residential","2018","3372","$95.49","WESTCHESTER LAKE"
"092A010034","2401 NE GINGER TEA WAY","3/5/2019","$277,790.00","Qualified","01","0.0","Residential","2018","3025","$91.83","GINGER LAKES"
"0140020119","3347 SW WESTBOROUGH LN","4/17/2019","$458,000.00","Qualified","01","1.84","Residential","2018","3880","$118.04","MONTCLAIR ESTATES"
"093C010147","1443 NE STEAM ENGINE WAY","5/1/2019","$131,000.00","Qualified","01","0.26","Residential","2006","1636","$80.07","OLD COVINGTON JUNC"
"079B010127","3228 SE HILDA'S CORNER","6/14/2019","$189,000.00","Qualified","01","0.27","Residential","1986","2209","$85.56","GARDENS OF FIELDSTONE"
"047C010497","788 SE RALPH RD","2/1/2019","$110,000.00","Qualified","01","0.3","Residential","1989","1352","$81.36","STANTON and LANDM"
"0690010376","2137 NE BELMONT CIR","4/19/2019","$137,990.00","Qualified","01","0.0","Residential","2018","1784","$77.35","BELMONT VILLAGE"
"032A010261","4321 SE DERBYSHIRE TRAC","5/10/2019","$155,000.00","Qualified","01","0.0","Residential","1988","1317","$117.69","BRADFORD"
"C140030006","877 NW ROSSER ST","3/14/2019","$75,000.00","Qualified","01","0.29","Residential","1910","1674","$44.80","CITY MAP 14"
"032C010010","5631 SW TURNSTONE DR","1/31/2019","$255,000.00","Qualified","01","0.7","Residential","1994","2580","$98.84","DEER FOREST"
"0570020008","1468 NW PINEVIEW LN","4/17/2019","$146,000.00","Qualified","01","0.53","Residential","1973","1350","$108.15","SHIPP SUB"
"076A020154","1252 SE SAXONY DR","3/29/2019","$229,900.00","Qualified","01","0.0","Residential","2001","2056","$111.82","HENSON VILLAGE"
"025A010097","2262 SW BRIARWOOD CIR","6/4/2019","$86,500.00","Qualified","01","0.46","Residential","1976","1783","$48.51","BRIARWOOD SUB"
"090B010103","2461 NE SHOALS DR","2/22/2019","$131,000.00","Qualified","01","0.38","Residential","1990","1520","$86.18","WINDRIDGE SUB"
"0550010144","1953 NE CRESCENT MOON DR","1/7/2019","$194,900.00","Qualified","01","0.9","Residential","2018","1982","$98.34","CRESENT VIEW NEW"
"0360020027","2711 NW VALLEYDALE DR","6/1/2019","$95,655.00","Qualified","01","3.22","Residential","1969","1824","$52.44","VALLEYDALE"
"0570030079","1480 NW HONEYSUCKLE DR","5/24/2019","$143,000.00","Qualified","01","0.47","Residential","1972","1660","$86.14","HONEYSUCKLE EST"
"0660060079","174 NE ELLIS DR","1/9/2019","$125,000.00","Qualified","01","0.0","Residential","2005","1518","$82.35","MILSTEAD PLACE"
"045B010222","1405 SW CHERRY HILL RD","4/11/2019","$112,000.00","Qualified","01","1.27","Residential","1987","1096","$102.19","SUGAR HILL and PINE VIEW"
"0410010113","1227 NW CREEK FOREST CT","1/31/2019","$137,500.00","Qualified","90","0.0","Residential","1981","1080","$127.31","FOREST VILLAS"
