"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"0790020227","1491 SE BOURDON BELL DR","6/26/2018","$310,759.00","Qualified","01","0.64","Residential","2018","3131","$99.25","SUMMIT CREEK U1-2&3"
"032A020017","1800 SW COLONIAL SOUTH DR","3/14/2018","$269,900.00","Qualified","01","1.01","Residential","1992","2637","$102.35","PRINCETON WAY"
"0510010034","4572 SE NORTH WOODLAKE LN","6/25/2018","$123,000.00","Qualified","01","0.5","Residential","1975","1721","$71.47","HIDDEN LAKE"
"090B010183","2316 NE ROCK MILL LN","3/2/2018","$114,000.00","Qualified","01","0.35","Residential","1994","1954","$58.34","THE PARK at WINDRIDGE"
"093D010147","3103 SE AVONDALE DR","2/15/2018","$178,900.00","Qualified","01","0.0","Residential","2017","1813","$98.68","AVONDALE SPRINGS -NEW"
"093D010066","4110 SE DALE DR","1/26/2018","$178,900.00","Qualified","01","0.0","Residential","2017","1834","$97.55","AVONDALE SPRINGS -NEW"
"041B010182","1905 NW MILLSTREAM HOLLOW","5/25/2018","$152,900.00","Qualified","01","0.0","Residential","2018","1589","$96.22","PARKSIDE at TRAVERS CREEK"
"010A010027","1321 SW STONELEIGH DR","2/12/2018","$137,000.00","Qualified","01","0.59","Residential","1997","1994","$68.71","STONELEIGH SUB"
"008A010082","3121 SW JACKSON CREEK DR","6/6/2018","$271,700.00","Qualified","01","0.73","Residential","2004","2747","$98.91","JACKSON CREEK"
"0640010475","1812 NE RIVER SHOALS DR","5/7/2018","$183,000.00","Qualified","01","0.0","Residential","2006","2930","$62.46","RIVER CLUB at B  T"
"027A010346","1723 SW CARISSA DR","6/15/2018","$355,000.00","Qualified","01","0.46","Residential","2005","3286","$108.03","HOLLY HILL"
"046A010125","321 SE WINDSOR WALK","6/18/2018","$135,900.00","Qualified","01","0.23","Residential","1985","1329","$102.26","BILTMORE PLACE"
"047C010387","936 SE CURRY CIR","5/25/2018","$110,000.00","Qualified","01","0.62","Residential","1977","1389","$79.19","SAVORY ACRES"
"075A010219","1345 SE EARLE CT","6/12/2018","$119,900.00","Qualified","01","0.46","Residential","1972","1645","$72.89","EARLE CT"
"011A010122","2420 SW SHERRIE LN","3/16/2018","$112,150.00","Qualified","01","0.5","Residential","1987","1870","$59.97","MILLERS LANDING SUB"
"093C010135","1481 NE STEAM ENGINE WAY","3/8/2018","$106,000.00","Qualified","01","0.23","Residential","2006","1320","$80.30","OLD COVINGTON JUNC"
"0920010234","2524 NE PATTINGTON WAY","1/31/2018","$1,125,000.00","Qualified","90","1.39","Residential","2019","4719","$238.40","POINTE ROYAL"
"064A010055","2420 NE GREEN HOLLOW CT","4/5/2018","$162,000.00","Qualified","87","0.22","Residential","2002","2232","$72.58","RIVER RIDGE"
"080A010206","1738 SE BRANDY WOODS DR","6/22/2018","$165,000.00","Qualified","01","0.47","Residential","1984","2129","$77.50","BRANDYWINE"
"031B010132","2900 SW CLIFFVIEW CT","6/15/2018","$379,000.00","Qualified","01","0.72","Residential","2018","3493","$108.50","SOUTH RIDGE NEW"
"064B010156","2123 NE FARMDALE CRT","3/23/2018","$274,790.00","Qualified","01","0.25","Residential","2017","3098","$88.70","HARVEST MILL"
"049A010492","596 SE CLUBLAND CIR","3/1/2018","$250,000.00","Qualified","01","0.58","Residential","1990","2312","$108.13","HONEY CREEK"
"041B010189","1933 NW MILLSTREAM HOLLOW","5/29/2018","$152,500.00","Qualified","01","0.0","Residential","2018","1589","$95.97","PARKSIDE at TRAVERS CREEK"
"0630160031","2624 NE LAKEWOOD WAY","6/4/2018","$109,000.00","Qualified","01","0.51","Residential","1967","976","$111.68","HI ROC"
"041B010194","1953 NW MILLSTREAM HOLLOW","5/15/2018","$144,000.00","Qualified","01","0.0","Residential","2018","1589","$90.62","PARKSIDE at TRAVERS CREEK"
"C380010189","995 NW SIGMAN RD","5/24/2018","$150,000.00","Qualified","01","0.41","Residential","1980","1836","$81.70","COMMERCIAL RESID USE"
"0590010009","3840 NW HIGHWAY 20","5/25/2018","$105,500.00","Qualified","01","0.75","Residential","1961","1230","$85.77","RURAL MAP 59"
"012B010003","3007 SW HEIGHTS AVE","6/15/2018","$580,000.00","Qualified","01","0.65","Residential","2015","3677","$157.74","KLONDIKE HEIGHTS"
"028A010136","2624 SW HIGH ST","2/16/2018","$370,000.00","Qualified","01","0.65","Residential","1995","2807","$131.81","LOCHINVER"
"035001020E","1160 NW CORLEY RD","1/26/2018","$283,000.00","Qualified","01","4.2","Residential","1998","2817","$100.46","RURAL MAP 35"
"090B010184","1201 NE DRESSAGE RIDGE","2/21/2018","$115,000.00","Qualified","01","0.35","Residential","1994","1387","$82.91","THE PARK at WINDRIDGE"
"046A010211","5400 SE CINDY LN","3/5/2018","$130,000.00","Qualified","90","0.36","Residential","1988","1280","$101.56","BILTMORE PLACE"
"0260010003","2279 SW FLAT SHOALS RD","5/18/2018","$181,000.00","Qualified","01","1.6","Residential","1962","3036","$59.62","RURAL MAP 26"
"010C010031","3209 SW CRANBERRY WAY","2/14/2018","$355,900.00","Qualified","01","0.57","Residential","2017","4123","$86.32","THE PARKS OF STONECREST"
"080C010187","3633 SE CHERRY CREEK DR","3/23/2018","$162,500.00","Qualified","01","0.48","Residential","1989","1672","$97.19","CHERRY CREEK"
"051B010511","4670 SE WEST LAKE DR","6/5/2018","$209,900.00","Qualified","01","1.11","Residential","2001","2496","$84.09","MEADOWBROOK SUBD"
"077A010055","2131 SE GOLFVIEW DR","5/2/2018","$165,000.00","Qualified","01","0.0","Residential","1979","1500","$55.00","FIELDSTONE VIEW"
"C39001134C","657 SE BROWNING LN","4/27/2018","$57,200.00","Qualified","01","0.0","Residential","1988","1313","$43.56","HUNTING CREEK TOWNHOMES"
"049A010238","898 SE SWEET BRIAR TRL","1/30/2018","$154,900.00","Qualified","01","0.46","Residential","1977","2178","$71.12","HONEY CREEK"
