"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"0690010377","2135 NE BELMONT CIR","5/18/2023","$223,500.00","Qualified","01","0.0","Residential","2018","1624","$137.62","BELMONT VILLAGE"
"090B010053","1506 NE CHELSEA DOWNS DR","4/28/2023","$140,000.00","Qualified","01","0.35","Residential","1989","1656","$84.54","CHELSEA DOWNS SUB"
"079C010180","3364 SE BERKSHIRE BEND","3/15/2023","$175,000.00","Qualified","01","0.34","Residential","1974","1834","$95.42","SALEM LAKE SUB"
"027A010183","1751 SW MYSTERY CIR","8/9/2023","$234,000.00","Qualified","01","0.46","Residential","1984","1421","$164.67","HIDDEN ACRES1"
"049A010638","1000 SE MCCOY DR","8/8/2023","$323,500.00","Qualified","01","0.59","Residential","2001","2841","$113.87","LAKES AT HONEY CREEK"
"0780050014","913 SE KING DR","5/31/2023","$212,100.00","Qualified","01","1.08","Residential","1970","1595","$132.98","PINEWOOD SHORE"
"0870010014","1719 NE FERN CREEK RD","4/28/2023","$202,000.00","Qualified","01","3.52","Residential","1981","2284","$88.44","FERN CREEK"
"092001040A","2655 NE GLENDALE DR","8/7/2023","$162,000.00","Qualified","01","2.36","Residential","1981","1612","$100.50","GLENDALE ACRES"
"077A020086","2619 SE COUNTRY TRCE","8/7/2023","$315,000.00","Qualified","01","0.26","Residential","1985","1680","$93.75","FIELDSTONE VIEW"
"049B010150","459 SE VALLEY WOODS CIR","8/4/2023","$269,900.00","Qualified","01","0.34","Residential","1984","1425","$189.40","ROLLING GREENS"
"0260010053","1913 SW STARR RD","8/4/2023","$265,000.00","Qualified","01","1.21","Residential","1963","1706","$155.33","GRANT C STARR"
"0660060096","122 NE ELLIS DR","8/4/2023","$233,000.00","Qualified","01","0.0","Residential","2004","1458","$159.81","MILSTEAD PLACE"
"064B010013","2212 NE EVENING MIST LN","8/4/2023","$467,000.00","Qualified","01","0.24","Residential","2017","3054","$152.91","HARVEST MILL"
"090B010190","2313 NE ROCK MILL LN","5/25/2023","$227,800.00","Qualified","01","0.49","Residential","1994","1392","$163.65","THE PARK at WINDRIDGE"
"041B010107","1223 NW SWEETGUM TRL","8/3/2023","$425,000.00","Qualified","01","0.0","Residential","2007","3548","$119.79","THE PRESERVE at TRAVERS CREEK"
"025A010409","2208 SW BRANDON LN","8/3/2023","$394,000.00","Qualified","01","0.69","Residential","1996","2132","$184.80","CAMBRIDGE CREEK SUB"
"090A010029","1169 NE PINE KNOLL LN","8/2/2023","$120,000.00","Qualified","01","0.51","Residential","1972","2611","$45.96","MOUNTAIN VALLEY EST"
"C330020006","1180 NE CREST VIEW CIR","8/2/2023","$210,200.00","Qualified","01","0.56","Residential","1966","1092","$192.49","JAMES E NORTON SUB"
"046A010198","5409 SE CINDY LN","5/30/2023","$205,700.00","Qualified","01","0.25","Residential","1988","1365","$150.70","BILTMORE PLACE"
"047C010104","676 SE RALPH RD","7/31/2023","$240,000.00","Qualified","01","0.23","Residential","1972","1896","$126.58","LAKERIDGE"
"0660060103","108 NE ELLIS DR","2/17/2023","$147,000.00","Qualified","01","0.0","Residential","2004","1375","$106.91","MILSTEAD PLACE"
"080C010088","3505 SE TIFFANY DR","7/28/2023","$190,000.00","Qualified","01","0.0","Residential","1988","2206","$86.13","STONEY BROOK"
"011A010082","2710 SW TURNER VALLEY CIR","7/28/2023","$295,000.00","Qualified","01","0.66","Residential","1976","2249","$131.17","TURNER VALLEY SUB"
"0250010022","1968 SW SMYRNA LN","7/28/2023","$230,000.00","Qualified","01","0.75","Residential","1975","1344","$171.13","SMYRNA DOWNS"
"036A010043","891 NW RAY DR","7/28/2023","$255,500.00","Qualified","01","0.66","Residential","1976","1711","$149.33","CREEKWOOD MANOR"
"052001024B","4195 NE HIGHWAY 20","7/28/2023","$210,000.00","Qualified","01","4.15","Residential","1978","1527","$137.52","RURAL MAP 52"
"C370010006","1610 NW WESLEY WAY","7/28/2023","$255,000.00","Qualified","01","0.0","Residential","1972","2432","$104.85","NORTHRIDGE"
"077D010025","1321 SE KAY TERR","7/27/2023","$305,000.00","Qualified","01","0.5","Residential","1996","2236","$136.40","NANTUCKET"
"087A010034","2104 NE GRAND GLEATON PASS","3/13/2023","$190,000.00","Qualified","01","0.59","Residential","2005","1653","$114.94","GLEATON TRACE SUB"
"093B010078","2544 SE DUKES CIR","3/22/2023","$339,590.00","Qualified","01","0.43","Residential","2010","3256","$104.30","FIELDSTONE"
"041B010182","1905 NW MILLSTREAM HOLLOW","7/26/2023","$260,000.00","Qualified","01","0.0","Residential","2018","1589","$163.62","PARKSIDE at TRAVERS CREEK"
"C090020077","2028 SW APPALOOSA WAY","7/26/2023","$175,100.00","Qualified","01","0.0","Residential","2005","1640","$106.77","BRIDLE RIDGE WALK"
"077B010232","1320 SE WINESAP CT","7/21/2023","$211,688.00","Qualified","01","0.57","Residential","1993","2821","$75.04","E IRWIN PLACE U1/U2"
"0580010047","2309 NE FAWNLEDGE","7/21/2023","$550,500.00","Qualified","01","2.51","Residential","2002","2841","$193.77","INDIAN SHOALS SUB"
"0440010151","1524 SW HENRY ST","7/21/2023","$349,900.00","Qualified","01","0.04","Residential","2022","1988","$176.01","EASTMORE TH"
"077E010173","2632 SE ESSEX CT","7/21/2023","$295,000.00","Qualified","01","0.33","Residential","2002","1555","$189.71","OLDE SALEM TOWNSHIP"
"079D010228","1618 SE WINDY HILL PL","5/12/2023","$241,800.00","Qualified","01","0.59","Residential","1990","1396","$173.21","HONEY SPRINGS"
"057B010111","130 NW HAWKEYE LN","7/19/2023","$205,000.00","Qualified","01","0.06","Residential","2003","1398","$146.64","CALLAWAY XING TH"
"0360030058","593 NW KINGSTON LN","7/19/2023","$268,000.00","Qualified","01","0.46","Residential","1972","1428","$187.68","KINGSTON WOODS"
"0300010207","3575 SW EBENEZER RD","7/18/2023","$375,000.00","Qualified","01","3.12","Residential","1986","1764","$212.59","RURAL MAP 30"
"C390010058","1756 SE RIDGE CT","7/18/2023","$370,000.00","Qualified","01","0.0","Residential","1985","1044","$77.28","HUNTING CREEK TOWNHOMES"
"093D010226","3623 SE SHALE LANE","7/18/2023","$315,000.00","Qualified","01","0.0","Residential","2014","2242","$140.50","AVONDALE SPRINGS -NEW"
"008A010082","3121 SW JACKSON CREEK DR","3/24/2023","$345,000.00","Qualified","01","0.73","Residential","2004","2747","$125.59","JACKSON CREEK"
"080C010085","3600 SE PENNINGTON DR","7/17/2023","$285,000.00","Qualified","01","1.38","Residential","1984","1616","$176.36","PENNINGTON HILLS"
"027A010406","2200 SW ANISE CT","7/17/2023","$420,000.00","Qualified","01","0.42","Residential","2005","3345","$125.56","HOLLY HILL"
"025A010072","852 SW APRIL DR","7/14/2023","$249,600.00","Qualified","01","0.74","Residential","1972","1796","$138.98","FOUR SEASON SUB"
"0470010105","3106 SE SOUTH OAK CT","3/24/2023","$200,000.00","Qualified","01","0.61","Residential","1978","1378","$145.14","FAIROAKS"
"077D010027","1281 SE KAY TERR","5/11/2023","$307,500.00","Qualified","01","0.65","Residential","1993","2869","$107.18","NANTUCKET"
"093A010003","2229 SE COUNTRY CLUB DR","7/14/2023","$305,000.00","Qualified","01","0.47","Residential","1973","1924","$158.52","FIELDSTONE"
"046B010125","1511 SE PIN OAK LN","7/14/2023","$191,200.00","Qualified","01","0.0","Residential","1986","1192","$160.40","OAKLEY DOWNS"
"049A010606","1001 SE MCCOY DR","3/3/2023","$380,000.00","Qualified","01","0.5","Residential","2001","2936","$129.43","LAKES AT HONEY CREEK"
"080B010115","1233 SE WOODLAND CT","4/14/2023","$145,500.00","Qualified","01","0.0","Residential","1979","1612","$90.26","WOODLAND FOREST-LEISURE WOODS"
"C370010082","1550 NW TANGLE WOOD WAY","7/13/2023","$255,000.00","Qualified","01","0.0","Residential","1972","1292","$197.37","NORTHRIDGE"
"069002030A","1463 NE BIG BEAR CV","7/12/2023","$175,000.00","Qualified","01","0.0","Residential","1986","1183","$147.93","HUNTERS POINT"
"0300010233","2580 SW HONEY CREEK RD","7/10/2023","$399,500.00","Qualified","01","4.24","Residential","1986","2028","$196.99","EAST MILL FOREST/ABBEY"
"0280010107","2203 SW HERITAGE CROSSING","6/26/2023","$308,000.00","Qualified","01","0.9","Residential","1986","1478","$208.39","HERITAGE HEIGHTS"
"051C010205","4826 SE NAVAJO TRL","6/6/2023","$214,900.00","Qualified","01","0.0","Residential","1987","1166","$184.31","CEDAR BROOK"
"0300010224","2592 SW ABBEY RIDGE RD","7/7/2023","$505,000.00","Qualified","01","2.49","Residential","1987","2819","$179.14","EAST MILL FOREST/ABBEY"
"041001229A","1192 NW PINEDALE CIR","7/7/2023","$232,000.00","Qualified","01","0.1","Residential","2002","1242","$186.80","PINEDALE THSE NEW"
"057B010036","170 NW ODYSSEY TURN","7/7/2023","$170,000.00","Qualified","01","0.08","Residential","2005","1440","$118.06","CALLAWAY XING TH"
