"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"079A010068","1078 SE DUKE DR","10/27/2020","$200,000.00","Qualified","01","0.0","Residential","1972","1576","$126.90","FOXWOOD HILLS"
"0690010063","1488 C NE PINE LOG RD","8/3/2020","$62,000.00","Qualified","01","0.0","Residential","1972","1140","$54.39","VIEW POINT EAST"
"047C010119","3006 SE STANTON RD","8/24/2020","$96,050.00","Qualified","01","0.23","Residential","1982","1350","$71.15","LAKERIDGE"
"0140010110","2532 SW SYCAMORE DR","8/26/2020","$400,000.00","Qualified","01","0.6","Residential","2006","3457","$115.71","SOUTH MILL"
"028A010217","2725 SW PITLOCHRY ST","8/14/2020","$410,000.00","Qualified","01","0.66","Residential","1998","3223","$127.21","LOCHINVER"
"093B010078","2544 SE DUKES CIR","8/27/2020","$323,100.00","Qualified","01","0.43","Residential","2010","3256","$99.23","FIELDSTONE"
"C090020077","2028 SW APPALOOSA WAY","7/23/2020","$165,000.00","Qualified","01","0.0","Residential","2005","1640","$100.61","BRIDLE RIDGE WALK"
"079D010228","1618 SE WINDY HILL PL","8/28/2020","$168,000.00","Qualified","01","0.59","Residential","1990","1396","$120.34","HONEY SPRINGS"
"0780070035","833 SE VIRGINIA CT","9/23/2020","$90,000.00","Qualified","01","1.3","Residential","1970","2576","$34.94","PINEWOOD SHORE"
"064A010176","2326 NE DANIELLE BLVD","9/21/2020","$120,000.00","Qualified","90","0.0","Residential","2022","2124","$56.50","HI ROC PLANTATION"
"049A010515","645 SE WINTHROP WAY","7/31/2020","$267,523.00","Qualified","01","0.48","Residential","1987","2324","$115.11","HONEY CREEK"
"012001012E","3491 SW FLAT SHOALS RD","10/21/2020","$161,000.00","Qualified","01","1.12","Residential","1984","2033","$79.19","RURAL MAP 12"
"033A010055","2003 SW RIVER GARDEN WAY","8/10/2020","$165,000.00","Qualified","01","0.58","Residential","1999","1638","$100.73","RIVERCLIFT"
