"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"049B010150","459 SE VALLEY WOODS CIR","8/19/2022","$225,000.00","Qualified","01","0.34","Residential","1984","1425","$157.89","ROLLING GREENS"
"0360020093","2523 NW HANNAH HAVEN DR","8/8/2022","$325,000.00","Qualified","01","1.38","Residential","2003","2510","$129.48","HEDGEWOOD"
"041B010182","1905 NW MILLSTREAM HOLLOW","8/26/2022","$245,000.00","Qualified","01","0.0","Residential","2018","1589","$154.19","PARKSIDE at TRAVERS CREEK"
"064A010268","2017 NE JESSICA WAY","8/9/2022","$341,000.00","Qualified","01","0.0","Residential","2005","2854","$119.48","HI ROC PLANTATION"
"075A010182","1870 SE HICKORY ST","8/22/2022","$244,400.00","Qualified","01","0.67","Residential","1971","1581","$154.59","PINE FOREST SD"
"077C010284","2401 SE TWIN BRANCHES LN","7/11/2022","$347,300.00","Qualified","01","0.88","Residential","1997","2567","$135.29","THE OAKES at BRENTWOOD"
"076A010048","2101 SE ANN CT","6/7/2022","$304,000.00","Qualified","01","0.0","Residential","1973","1708","$177.99","WILLINGHAM EST"
"C230020021","1390 NW SOUTH HICKS CIR","6/10/2022","$265,000.00","Qualified","01","0.37","Residential","1967","1620","$163.58","HICKS SUB"
"050A010054","1020 SE PLANTATION BLVD","8/22/2022","$265,000.00","Qualified","01","0.46","Residential","1987","1700","$155.88","PLANTATION WOODS"
"028A010349","2527 SW HOPE DR","6/17/2022","$550,000.00","Qualified","01","1.39","Residential","2004","3261","$168.66","GRACELAND ESTATES"
"031A010039","1616 SW QUAIL RUN","8/9/2022","$200,000.00","Qualified","01","0.6","Residential","1986","1908","$104.82","QUAIL RUN"
"093D010213","3447 SE SANDSTONE TRL","6/17/2022","$375,000.00","Qualified","01","0.0","Residential","2016","1813","$206.84","AVONDALE SPRINGS -NEW"
"056A010041","1770 NW LITTLE FAWN TRL","6/30/2022","$165,000.00","Qualified","01","0.46","Residential","1978","1148","$143.73","HUNTERS HOLLOW"
"080B010245","3995 SE MISTY VALLEY CT","8/18/2022","$251,900.00","Qualified","01","0.62","Residential","1994","1598","$157.63","MISTY VALLEY"
"079C010434","1771 SE SOUTHGATE LN","7/18/2022","$265,000.00","Qualified","90","0.23","Residential","1987","1200","$220.83","SOUTH GATE DUPLEX"
"049A010155","3614 SE SAND HILL DR","7/15/2022","$340,000.00","Qualified","01","0.51","Residential","1979","1811","$187.74","HONEY CREEK"
"006001017B","4121 SW EAST FAIRVIEW RD","6/30/2022","$241,200.00","Qualified","01","0.95","Residential","1972","1914","$126.02","RURAL MAP 06"
"050A010142","1057 SE PLANTATION BLVD","6/8/2022","$290,900.00","Qualified","01","0.89","Residential","1990","1388","$209.58","PLANTATION WOODS"
"0550010090","2259 NW WILSON RD","7/13/2022","$254,100.00","Qualified","01","0.49","Residential","1994","2058","$123.47","ELM TREE SUB"
"0490010072","2920 SE CAMARY PLACE DR","8/17/2022","$400,000.00","Qualified","01","0.0","Residential","1990","2392","$167.22","CAMARY PLACE"
"0550010064","1556 NE PARKERS DR","6/24/2022","$126,500.00","Qualified","01","3.26","Residential","1870","960","$131.77","RURAL MAP 55"
"0690010044","1472 B NE PINE LOG RD","6/8/2022","$140,000.00","Qualified","01","0.0","Residential","1973","1232","$113.64","VIEW POINT EAST"
"051A010147","1709 SW ELIZABETH CT","6/21/2022","$240,920.00","Qualified","01","0.97","Residential","1975","1875","$128.49","DEER RUN"
"0280010114","2208 SW HERITAGE CROSSING","7/18/2022","$265,000.00","Qualified","01","0.46","Residential","1986","1421","$186.49","HERITAGE HEIGHTS"
"0480010047","3507 SE SAND HILL DR","8/4/2022","$195,000.00","Qualified","01","0.34","Residential","1986","1394","$139.89","HONEY CREEK U5"
"079D010520","2024 SE EVERGREEN DR","6/28/2022","$390,500.00","Qualified","01","1.41","Residential","2001","2547","$153.32","WESTCHESTER LAKE"
"047C010218","595 SE LAKERIDGE DR","7/6/2022","$185,000.00","Qualified","01","0.38","Residential","1975","1954","$94.68","LAKERIDGE"
"046A010170","415 SE CINDY DR","8/12/2022","$188,000.00","Qualified","01","0.23","Residential","1987","1271","$147.92","BILTMORE PLACE"
"047C010416","569 SE PINE RIDGE TRL","6/9/2022","$195,000.00","Qualified","01","0.35","Residential","1988","1453","$134.21","STANTON and LANDM"
"076B010056","2644 SE SANTA FE CT","8/17/2022","$368,800.00","Qualified","01","0.45","Residential","2003","2371","$155.55","MISSION RIDGE"
"051B010059","630 SE KNOLLWOOD CIR","8/9/2022","$335,000.00","Qualified","01","0.55","Residential","1979","1970","$170.05","MEADOWBROOK SUBD"
"049A010360","560 SE CLUBHOUSE DR","6/27/2022","$329,600.00","Qualified","01","0.43","Residential","1980","2621","$125.75","HONEY CREEK"
"050A010293","581 SE RIBBON LN","6/30/2022","$345,800.00","Qualified","01","0.46","Residential","1997","2275","$152.00","MARTINGALE"
"050A010233","553 SE MEDALIST WAY","8/30/2022","$350,000.00","Qualified","01","0.0","Residential","1995","1841","$190.11","MARTINGALE"
"080C010111","3533 SE TIFFANY DR","8/5/2022","$325,800.00","Qualified","01","0.0","Residential","1992","2522","$129.18","STONEY BROOK"
"064B010114","2508 NE FALLENLEAF CRT","6/13/2022","$404,700.00","Qualified","01","0.26","Residential","2019","2618","$154.58","HARVEST MILL"
"079D010213","1513 SE WINDY OAKS CT","8/22/2022","$249,800.00","Qualified","01","0.74","Residential","1991","1732","$144.23","HONEY SPRINGS"
"047C010003","916 SE DAWN CT","8/29/2022","$223,300.00","Qualified","01","0.0","Residential","1973","1192","$187.33","CAMERON WOODS"
"051C010162","4749 SE CEDAR LAKE DR","8/8/2022","$230,400.00","Qualified","01","0.0","Residential","1984","1456","$158.24","CEDAR BROOK"
"079C01434A","1771 SE SOUTHGATE LN","7/18/2022","$265,000.00","Qualified","90","0.12","Residential","1987","1200","$220.83","SOUTH GATE DUPLEX"
"027A010137","2430 SW AMBERBROOK DR","6/16/2022","$298,000.00","Qualified","01","1.17","Residential","1999","2144","$138.99","HIDDEN ACRES1"
"032A010138","4751 SE KENSINGTON CT","8/9/2022","$245,700.00","Qualified","01","0.43","Residential","1986","1600","$153.56","BRADFORD"
"C060020002","1389 NW IRWIN BRIDGE RD","8/4/2022","$217,000.00","Qualified","01","0.4","Residential","1966","1637","$132.56","HIGHLAND PARK"
"054A010081","1290 NE COUNTRY LANE WAY","7/12/2022","$248,600.00","Qualified","01","0.46","Residential","1983","1512","$164.42","COUNTRY LANE EST"
"045B010161","1629 SW SUGARMAPLE DR","6/1/2022","$240,400.00","Qualified","01","0.26","Residential","1986","1808","$132.96","SUGAR HILL and PINE VIEW"
"0330010047","307 SW WINDING STREAM TRL","8/12/2022","$310,000.00","Qualified","01","1.65","Residential","1986","2008","$154.38","BUCKINGHAM"
"0180030007","3045 NW RIVIERA DR","7/12/2022","$220,750.00","Qualified","01","2.75","Residential","1972","1566","$140.96","LAKE CAPRI"
"086A010070","3230 NE MARBLEHEAD CV","8/12/2022","$455,000.00","Qualified","01","1.73","Residential","1992","1908","$238.47","N HAMPTON SUB"
"0180020023","2910 NW BARCELONA WAY","8/1/2022","$243,800.00","Qualified","01","1.02","Residential","1965","1944","$125.41","LAKE CAPRI"
"C380010032","1610 NW RIDGEVIEW DR","7/1/2022","$225,000.00","Qualified","01","0.0","Residential","1973","1824","$123.36","NORTHRIDGE"
"C250010051","1100 NE EAST VIEW CIR","7/15/2022","$134,500.00","Qualified","01","0.0","Residential","1973","1134","$118.61","EASTMORE PARK"
"046B010320","2250 SE WEATHERSTONE CIR","7/8/2022","$440,500.00","Qualified","01","0.4","Residential","1991","2357","$186.89","WEATHERSTONE"
"0410010048","1141 NW FOREST VILLA DR","7/13/2022","$130,000.00","Qualified","01","0.0","Residential","1974","1160","$112.07","FOREST VILLAS"
"0300010254","2585 SW ABBEY RIDGE RD","6/7/2022","$342,200.00","Qualified","01","1.41","Residential","1985","2396","$142.82","EAST MILL FOREST/ABBEY"
"026A010059","2668 SW OLDE IVY LN","8/19/2022","$475,000.00","Qualified","01","1.49","Residential","2002","3163","$150.17","THE COLUMNS SUB"
"0290020049","144 SW OLD MILL TRL","7/29/2022","$145,000.00","Qualified","01","0.25","Residential","1981","1352","$107.25","OLD MILL"
"046B010023","944 SE LOST VALLEY DR","7/19/2022","$385,000.00","Qualified","01","0.96","Residential","1984","2961","$130.02","LOST VALLEY"
"092A010029","2250 NE GINGER LAKE DR","8/12/2022","$498,800.00","Qualified","01","0.0","Residential","2018","3522","$141.62","GINGER LAKES"
"077E010465","3162 SE BAYWOOD CT","7/5/2022","$273,000.00","Qualified","01","0.28","Residential","2004","1924","$141.89","OLDE SALEM TOWNSHIP"
"011C010037","1219 SW FALLS CREEK CT","7/14/2022","$360,000.00","Qualified","01","0.61","Residential","2001","2830","$127.21","THE FALLS AT BRIDGEWATER"
"0640010410","1219 NE RIVER RUSH LANE","6/22/2022","$350,000.00","Qualified","01","0.0","Residential","2007","2979","$117.49","RIVER CLUB at B  T"
