"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"C390010063","1739 A SE HUNTING CREEK DR","12/2/2019","$303,000.00","Qualified","01","0.0","Residential","1984","1044","$68.99","HUNTING CREEK TOWNHOMES"
"051A010145","1758 SW HOLMES DR","12/2/2019","$125,000.00","Qualified","01","0.92","Residential","1979","1624","$76.97","DEER RUN"
"010D010063","2803 SW ELLIS POINTE AV","12/16/2019","$219,830.00","Qualified","01","0.04","Residential","2019","1792","$122.67","ELLIS POINTE"
"080A010110","1767 SE BRANDY LN","12/16/2019","$75,000.00","Qualified","01","0.54","Residential","1981","1416","$52.97","BRANDYWINE"
"0500020031","4508 SE MIDWAY RD","12/13/2019","$325,000.00","Qualified","01","1.48","Residential","1993","2735","$118.83","RURAL MAP 50"
"C390010044","1734 SE BOB WHITE LN","12/2/2019","$303,000.00","Qualified","01","0.0","Residential","1994","1116","$58.18","HUNTING CREEK TOWNHOMES"
"030001166B","3308 SW MILL FOREST DR","12/27/2019","$365,000.00","Qualified","01","1.18","Residential","2004","3648","$100.05","EAST MILL FOREST U1"
"093B010185","2210 SE CHASE WAY","12/16/2019","$226,000.00","Qualified","01","0.0","Residential","1997","2736","$82.60","HIGHLAND CHASE"
"047C010228","535 SE GREENVIEW AVE","12/23/2019","$147,900.00","Qualified","01","0.0","Residential","1974","1604","$92.21","STANTON and LANDM"
"049A010113","3770 SE CLUBHOUSE LN","12/12/2019","$179,900.00","Qualified","01","0.51","Residential","1973","2412","$74.59","HONEY CREEK"
"079D010506","2213 SE JESSOWEN WAY","12/27/2019","$272,600.00","Qualified","01","0.37","Residential","2001","3271","$83.34","WESTCHESTER LAKE"
"0780010026","3131 SE GOODE RD","12/13/2019","$135,000.00","Qualified","01","0.49","Residential","1976","1824","$74.01","PINEWOOD SHORE"
"064A010270","2021 NE JESSICA WAY","12/27/2019","$253,000.00","Qualified","01","0.0","Residential","2006","3220","$78.57","HI ROC PLANTATION"
"047C010513","1808 SE CHRISTOPHER DR","12/12/2019","$380,000.00","Qualified","01","0.0","Residential","2019","3803","$99.92","ALLENS LANDING"
"C390010045","1726 SE BOB WHITE LN","12/2/2019","$303,000.00","Qualified","01","0.0","Residential","1994","1260","$57.20","HUNTING CREEK TOWNHOMES"
"046A010112","2350 SE PARADISE CIR","12/13/2019","$172,634.00","Qualified","01","0.54","Residential","1978","1710","$100.96","STANTON POINT"
"077C010120","1702 SE WOODSTONE COVE","12/13/2019","$209,754.00","Qualified","01","0.0","Residential","1991","2591","$80.95","BRENTWOOD 123"
"077C010142","1722 SE GREYSTONE TRAC","12/17/2019","$272,000.00","Qualified","01","0.0","Residential","1992","2395","$113.57","BRENTWOOD 123"
"010B010011","2965 SW STONECREST POINTE","12/3/2019","$215,000.00","Qualified","01","0.5","Residential","2001","2039","$105.44","STONECREST at ABBOTT LAKE"
"0660060083","166 NE ELLIS DR","12/17/2019","$135,293.00","Qualified","01","0.0","Residential","2005","1701","$79.54","MILSTEAD PLACE"
"0780090017","883 SE WATERSIDE DR","12/27/2019","$83,400.00","Qualified","01","0.0","Residential","1972","1702","$49.00","PINEWOOD SHORE"
"C060040024","1055 NW GREEN VALLEY DR","12/13/2019","$68,250.00","Qualified","01","0.0","Residential","1985","1131","$60.34","CONYERS STATION"
"C06004024A","1053 NW GREEN VALLEY DR","12/13/2019","$68,250.00","Qualified","01","0.0","Residential","1985","1131","$60.34","CONYERS STATION"
