,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
0,047C010170,2950 SE LANDMARK DR,4/20/22,2022,4,2022-4,214600,1974,1215,176.6255144,33.6111184,-84.023207,13247060410,South Rockdale,POINT (-84.023207 33.6111184)
5,047C010083,3000 SE LAKERIDGE DR,1/18/22,2022,1,2022-1,215000,1973,1896,113.3966245,33.6100132,-84.0219678,13247060410,South Rockdale,POINT (-84.0219678 33.6100132)
6,047C010393,2755 SE STANTON WOODS DR,2/7/22,2022,2,2022-2,230000,1980,1332,172.6726727,33.6155497,-84.0270277,13247060410,South Rockdale,POINT (-84.0270277 33.6155497)
21,079D010040,3701 SE WINDY HILL DR,3/22/22,2022,3,2022-3,290200,1989,1684,172.327791,33.5929165,-83.9967863,13247060410,South Rockdale,POINT (-83.9967863 33.5929165)
22,047C010232,565 SE GREENVIEW AVE,4/29/22,2022,4,2022-4,270000,1985,1434,188.2845188,33.6128383,-84.0272548,13247060410,South Rockdale,POINT (-84.0272548 33.6128383)
32,047C010055,815 SE BRIDGEWATER WAY,4/12/22,2022,4,2022-4,195000,1978,1068,182.5842697,33.6110141,-84.0192415,13247060410,South Rockdale,POINT (-84.0192415 33.6110141)
33,047C010062,826 SE RAINTREE WAY,5/31/22,2022,5,2022-5,154990,1978,1448,107.0372928,33.6106912,-84.0188698,13247060410,South Rockdale,POINT (-84.0188698 33.6106912)
41,046A010138,320 SE WINDSOR WALK,3/4/22,2022,3,2022-3,242500,1986,1794,135.1727982,33.6250734,-84.0343998,13247060410,South Rockdale,POINT (-84.0343998 33.6250734)
52,780100024,3406 SE KINGSTON DR,5/17/22,2022,5,2022-5,265500,1973,1733,153.2025389,33.5991998,-84.0186013,13247060410,South Rockdale,POINT (-84.0186013 33.5991998)
72,046B010309,2642 SE LAUREL WOODS LN,3/11/22,2022,3,2022-3,244100,1989,1588,153.7153652,33.6172097,-84.0266766,13247060410,South Rockdale,POINT (-84.0266766 33.6172097)
86,047C010105,668 SE RALPH RD,1/14/22,2022,1,2022-1,185900,1972,1218,152.6272578,33.6089367,-84.0240331,13247060410,South Rockdale,POINT (-84.0240331 33.6089367)
88,780040015,3063 SE HIGHWAY 20,1/14/22,2022,1,2022-1,195000,1972,1425,136.8421053,33.6084247,-84.0152345,13247060410,South Rockdale,POINT (-84.0152345 33.6084247)
89,047C010341,2929 SE HIGH BROOK WAY,3/28/22,2022,3,2022-3,250800,1985,1206,207.960199,33.612397,-84.0280396,13247060410,South Rockdale,POINT (-84.0280396 33.612397)
127,047C010428,696 SE ALMAND BRANCH RD,5/23/22,2022,5,2022-5,210000,1980,1444,145.4293629,33.6151553,-84.0229179,13247060410,South Rockdale,POINT (-84.0229179 33.6151553)
141,046A010053,287 SE MORRIS DR,5/19/22,2022,5,2022-5,170000,1979,1248,136.2179487,33.6280414,-84.0363408,13247060410,South Rockdale,POINT (-84.0363408 33.6280414)
146,047C010404,609 SE FERN TERR,5/18/22,2022,5,2022-5,220000,1990,1644,133.8199513,33.6162332,-84.0253962,13247060410,South Rockdale,POINT (-84.0253962 33.6162332)
156,079D010197,1402 SE WINDY HILL CT,5/16/22,2022,5,2022-5,270000,1992,1514,178.335535,33.6014989,-83.9990384,13247060410,South Rockdale,POINT (-83.9990384 33.6014989)
224,047C010048,2935 SE RAINTREE DR,4/27/22,2022,4,2022-4,325000,2001,1413,230.0070771,33.6119288,-84.0192415,13247060410,South Rockdale,POINT (-84.0192415 33.6119288)
225,046B010159,1514 SE HILLSIDE DR,2/14/22,2022,2,2022-2,275000,1988,1901,144.6607049,33.6190729,-84.0273787,13247060410,South Rockdale,POINT (-84.0273787 33.6190729)
248,046B010052,1401 SE HILLSIDE PL,4/18/22,2022,4,2022-4,285000,1987,1824,156.25,33.6190766,-84.0312998,13247060410,South Rockdale,POINT (-84.0312998 33.6190766)
252,790020089,1300 SE WILD ROSE DR,4/18/22,2022,4,2022-4,433000,2010,3388,127.8040142,33.596922,-84.0097812,13247060410,South Rockdale,POINT (-84.0097812 33.596922)
285,047C010148,2915 SE LANDMARK DR,4/8/22,2022,4,2022-4,285000,1974,1921,148.360229,33.6121396,-84.0233759,13247060410,South Rockdale,POINT (-84.0233759 33.6121396)
296,046B010070,1440 SE HILLSIDE PL,4/4/22,2022,4,2022-4,245100,1990,1644,149.0875912,33.6197157,-84.0253549,13247060410,South Rockdale,POINT (-84.0253549 33.6197157)
318,077D010496,2524 SE RIVERTON DR,3/31/22,2022,3,2022-3,505000,2014,3748,134.7385272,33.6038084,-84.0044514,13247060410,South Rockdale,POINT (-84.0044514 33.6038084)
362,046B010301,2658 SE LAUREL WOODS LN,3/23/22,2022,3,2022-3,200000,1989,1836,108.9324619,33.6171712,-84.0240744,13247060410,South Rockdale,POINT (-84.0240744 33.6171712)
363,780090021,841 SE WATERSIDE DR,3/23/22,2022,3,2022-3,265000,1972,1638,161.7826618,33.6011353,-84.0185393,13247060410,South Rockdale,POINT (-84.0185393 33.6011353)
364,790020138,1324 SE WILD ROSE DR,3/23/22,2022,3,2022-3,466600,2014,3828,121.8913271,33.5969408,-84.0074675,13247060410,South Rockdale,POINT (-84.0074675 33.5969408)
380,047C010308,514 SE GREENVIEW AVE,3/21/22,2022,3,2022-3,243000,1978,1368,177.6315789,33.6156501,-84.0286591,13247060410,South Rockdale,POINT (-84.0286591 33.6156501)
