,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month,url,lat,long
0,047C010170,2950 SE LANDMARK DR,4/20/22,214600,1974,1215,2950%20Se%20Landmark%20Dr%20Rockdale%20County%20GA,047C010170-4/20/2022-214600.0,176.6255144,2022,2022,4,2022-4,https://www.google.com/maps/search/2950%20Se%20Landmark%20Dr%20Rockdale%20County%20GA,33.6111184,-84.023207
1,032A010011,151 SE BRIDGEWOOD DR,5/19/22,257000,1973,1440,151%20Se%20Bridgewood%20Dr%20Rockdale%20County%20GA,032A010011-5/19/2022-257000.0,178.4722222,2022,2022,5,2022-5,https://www.google.com/maps/search/151%20Se%20Bridgewood%20Dr%20Rockdale%20County%20GA,33.5601106,-84.0434021
2,077D010450,1408 SE MANSTON CT,5/3/22,503000,2006,3619,1408%20Se%20Manston%20Ct%20Rockdale%20County%20GA,077D010450-5/3/2022-503000.0,138.9886709,2022,2022,5,2022-5,https://www.google.com/maps/search/1408%20Se%20Manston%20Ct%20Rockdale%20County%20GA,33.6096824,-84.0115164
3,100070024,423 SW CENTER CIR,1/12/22,185000,1967,1338,423%20Sw%20Center%20Cir%20Rockdale%20County%20GA,0100070024-1/12/2022-185000.0,138.2660688,2022,2022,1,2022-1,https://www.google.com/maps/search/423%20Sw%20Center%20Cir%20Rockdale%20County%20GA,33.6802761,-84.0750233
4,077A020086,2619 SE COUNTRY TRCE,2/9/22,285000,1985,1680,2619%20Se%20Country%20Trce%20Rockdale%20County%20GA,077A020086-2/9/2022-285000.0,169.6428571,2022,2022,2,2022-2,https://www.google.com/maps/search/2619%20Se%20Country%20Trce%20Rockdale%20County%20GA,33.6173432,-83.9790766
5,047C010083,3000 SE LAKERIDGE DR,1/18/22,215000,1973,1896,3000%20Se%20Lakeridge%20Dr%20Rockdale%20County%20GA,047C010083-1/18/2022-215000.0,113.3966245,2022,2022,1,2022-1,https://www.google.com/maps/search/3000%20Se%20Lakeridge%20Dr%20Rockdale%20County%20GA,33.6100132,-84.0219678
6,047C010393,2755 SE STANTON WOODS DR,2/7/22,230000,1980,1332,2755%20Se%20Stanton%20Woods%20Dr%20Rockdale%20County%20GA,047C010393-2/7/2022-230000.0,172.6726727,2022,2022,2,2022-2,https://www.google.com/maps/search/2755%20Se%20Stanton%20Woods%20Dr%20Rockdale%20County%20GA,33.6155497,-84.0270277
7,510010049,1031 SE APPLE ORCHARD DR,3/21/22,200000,1976,1480,1031%20Se%20Apple%20Orchard%20Dr%20Rockdale%20County%20GA,0510010049-3/21/2022-200000.0,135.1351351,2022,2022,3,2022-3,https://www.google.com/maps/search/1031%20Se%20Apple%20Orchard%20Dr%20Rockdale%20County%20GA,33.5654048,-84.0130863
8,077D010025,1321 SE KAY TERR,1/18/22,310000,1996,2236,1321%20Se%20Kay%20Terr%20Rockdale%20County%20GA,077D010025-1/18/2022-310000.0,138.6404293,2022,2022,1,2022-1,https://www.google.com/maps/search/1321%20Se%20Kay%20Terr%20Rockdale%20County%20GA,33.6133248,-84.0057736
9,C390010101,1743 SE HUNTING CREEK LN,2/22/22,261500,1983,1002,1743%20Se%20Hunting%20Creek%20Ln%20Rockdale%20County%20GA,C390010101-2/22/2022-261500.0,260.9780439,2022,2022,2,2022-2,https://www.google.com/maps/search/1743%20Se%20Hunting%20Creek%20Ln%20Rockdale%20County%20GA,33.6438323,-84.007137
10,C370010082,1550 NW TANGLE WOOD WAY,5/5/22,241400,1972,1292,1550%20Nw%20Tangle%20Wood%20Way%20Rockdale%20County%20GA,C370010082-5/5/2022-241400.0,186.8421053,2022,2022,5,2022-5,https://www.google.com/maps/search/1550%20Nw%20Tangle%20Wood%20Way%20Rockdale%20County%20GA,33.6853688,-84.0180436
11,077B010070,1270 SE SWEET SHRUB LN,2/18/22,515000,1986,3088,1270%20Se%20Sweet%20Shrub%20Ln%20Rockdale%20County%20GA,077B010070-2/18/2022-515000.0,166.7746114,2022,2022,2,2022-2,https://www.google.com/maps/search/1270%20Se%20Sweet%20Shrub%20Ln%20Rockdale%20County%20GA,33.618892,-84.0082151
12,630290111,2004 NE HI ROC RD,5/19/22,115000,1962,1208,2004%20Ne%20Hi%20Roc%20Rd%20Rockdale%20County%20GA,0630290111-5/19/2022-115000.0,95.1986755,2022,2022,5,2022-5,https://www.google.com/maps/search/2004%20Ne%20Hi%20Roc%20Rd%20Rockdale%20County%20GA,33.7032933,-83.979366
13,079B010268,3425 SE WILLIAMS PL,4/25/22,370000,1987,2645,3425%20Se%20Williams%20Pl%20Rockdale%20County%20GA,079B010268-4/25/2022-370000.0,139.8865784,2022,2022,4,2022-4,https://www.google.com/maps/search/3425%20Se%20Williams%20Pl%20Rockdale%20County%20GA,33.6118649,-83.9886864
14,077E010216,2815 SE DRIFTWOOD CT,5/16/22,348000,2003,2142,2815%20Se%20Driftwood%20Ct%20Rockdale%20County%20GA,077E010216-5/16/2022-348000.0,162.464986,2022,2022,5,2022-5,https://www.google.com/maps/search/2815%20Se%20Driftwood%20Ct%20Rockdale%20County%20GA,33.6175704,-83.9810607
15,012A010019,2887 SW BRIDLE CREEK DR,5/16/22,363600,1996,2018,2887%20Sw%20Bridle%20Creek%20Dr%20Rockdale%20County%20GA,012A010019-5/16/2022-363600.0,180.1783944,2022,2022,5,2022-5,https://www.google.com/maps/search/2887%20Sw%20Bridle%20Creek%20Dr%20Rockdale%20County%20GA,33.6486849,-84.0835657
16,490010084,3318 SE ROCKINGHAM CT,5/27/22,550000,2022,4358,3318%20Se%20Rockingham%20Ct%20Rockdale%20County%20GA,0490010084-5/27/2022-550000.0,126.204681,2022,2022,5,2022-5,https://www.google.com/maps/search/3318%20Se%20Rockingham%20Ct%20Rockdale%20County%20GA,33.582537,-84.0246669
