,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month
0,047C010170,2950 SE LANDMARK DR,2022-04-20,214600.0,1974,1215,2950 Se Landmark Dr Rockdale County GA,047C010170-4/20/2022-214600.0,176.6255144032922,2022,2022,4,2022-4
1,032A010011,151 SE BRIDGEWOOD DR,2022-05-19,257000.0,1973,1440,151 Se Bridgewood Dr Rockdale County GA,032A010011-5/19/2022-257000.0,178.47222222222223,2022,2022,5,2022-5
2,077D010450,1408 SE MANSTON CT,2022-05-03,503000.0,2006,3619,1408 Se Manston Ct Rockdale County GA,077D010450-5/3/2022-503000.0,138.98867090356453,2022,2022,5,2022-5
3,0100070024,423 SW CENTER CIR,2022-01-12,185000.0,1967,1338,423 Sw Center Cir Rockdale County GA,0100070024-1/12/2022-185000.0,138.2660687593423,2022,2022,1,2022-1
4,077A020086,2619 SE COUNTRY TRCE,2022-02-09,285000.0,1985,1680,2619 Se Country Trce Rockdale County GA,077A020086-2/9/2022-285000.0,169.64285714285714,2022,2022,2,2022-2
5,047C010083,3000 SE LAKERIDGE DR,2022-01-18,215000.0,1973,1896,3000 Se Lakeridge Dr Rockdale County GA,047C010083-1/18/2022-215000.0,113.39662447257383,2022,2022,1,2022-1
6,047C010393,2755 SE STANTON WOODS DR,2022-02-07,230000.0,1980,1332,2755 Se Stanton Woods Dr Rockdale County GA,047C010393-2/7/2022-230000.0,172.67267267267266,2022,2022,2,2022-2
7,0510010049,1031 SE APPLE ORCHARD DR,2022-03-21,200000.0,1976,1480,1031 Se Apple Orchard Dr Rockdale County GA,0510010049-3/21/2022-200000.0,135.13513513513513,2022,2022,3,2022-3
8,077D010025,1321 SE KAY TERR,2022-01-18,310000.0,1996,2236,1321 Se Kay Terr Rockdale County GA,077D010025-1/18/2022-310000.0,138.64042933810376,2022,2022,1,2022-1
9,C390010101,1743 SE HUNTING CREEK LN,2022-02-22,261500.0,1983,1002,1743 Se Hunting Creek Ln Rockdale County GA,C390010101-2/22/2022-261500.0,260.9780439121756,2022,2022,2,2022-2
10,C370010082,1550 NW TANGLE WOOD WAY,2022-05-05,241400.0,1972,1292,1550 Nw Tangle Wood Way Rockdale County GA,C370010082-5/5/2022-241400.0,186.8421052631579,2022,2022,5,2022-5
11,077B010070,1270 SE SWEET SHRUB LN,2022-02-18,515000.0,1986,3088,1270 Se Sweet Shrub Ln Rockdale County GA,077B010070-2/18/2022-515000.0,166.77461139896374,2022,2022,2,2022-2
12,0630290111,2004 NE HI ROC RD,2022-05-19,115000.0,1962,1208,2004 Ne Hi Roc Rd Rockdale County GA,0630290111-5/19/2022-115000.0,95.19867549668874,2022,2022,5,2022-5
13,079B010268,3425 SE WILLIAMS PL,2022-04-25,370000.0,1987,2645,3425 Se Williams Pl Rockdale County GA,079B010268-4/25/2022-370000.0,139.88657844990547,2022,2022,4,2022-4
14,077E010216,2815 SE DRIFTWOOD CT,2022-05-16,348000.0,2003,2142,2815 Se Driftwood Ct Rockdale County GA,077E010216-5/16/2022-348000.0,162.46498599439775,2022,2022,5,2022-5
15,012A010019,2887 SW BRIDLE CREEK DR,2022-05-16,363600.0,1996,2018,2887 Sw Bridle Creek Dr Rockdale County GA,012A010019-5/16/2022-363600.0,180.17839444995045,2022,2022,5,2022-5
16,0490010084,3318 SE ROCKINGHAM CT,2022-05-27,550000.0,2022,4358,3318 Se Rockingham Ct Rockdale County GA,0490010084-5/27/2022-550000.0,126.20468104635154,2022,2022,5,2022-5
17,0140020105,3226 SW ASHMORE CT,2022-04-28,580000.0,2007,3435,3226 Sw Ashmore Ct Rockdale County GA,0140020105-4/28/2022-580000.0,168.8500727802038,2022,2022,4,2022-4
18,0650010030,1790 NE RICHARD RD,2022-03-11,285000.0,1995,540,1790 Ne Richard Rd Rockdale County GA,0650010030-3/11/2022-285000.0,527.7777777777778,2022,2022,3,2022-3
19,045B010295,1598 SW CHERRY HILL RD,2022-02-18,242000.0,1989,1290,1598 Sw Cherry Hill Rd Rockdale County GA,045B010295-2/18/2022-242000.0,187.5968992248062,2022,2022,2,2022-2
20,090A010110,1317 NE CLASSIC DR,2022-03-03,195000.0,1984,1026,1317 Ne Classic Dr Rockdale County GA,090A010110-3/3/2022-195000.0,190.05847953216374,2022,2022,3,2022-3
22,079D010040,3701 SE WINDY HILL DR,2022-03-22,290200.0,1989,1684,3701 Se Windy Hill Dr Rockdale County GA,079D010040-3/22/2022-290200.0,172.32779097387174,2022,2022,3,2022-3
23,047C010232,565 SE GREENVIEW AVE,2022-04-29,270000.0,1985,1434,565 Se Greenview Ave Rockdale County GA,047C010232-4/29/2022-270000.0,188.2845188284519,2022,2022,4,2022-4
24,080B010211,4185 SE LANCE CIR,2022-03-23,246000.0,1990,1537,4185 Se Lance Cir Rockdale County GA,080B010211-3/23/2022-246000.0,160.05204944697462,2022,2022,3,2022-3
25,C060010009,1355 NW IRWIN BRIDGE RD,2022-03-28,95000.0,1964,1424,1355 Nw Irwin Bridge Rd Rockdale County GA,C060010009-3/28/2022-95000.0,66.71348314606742,2022,2022,3,2022-3
26,093B010059,2493 SE HIGHLAND DR,2022-05-27,337700.0,1973,2830,2493 Se Highland Dr Rockdale County GA,093B010059-5/27/2022-337700.0,119.3286219081272,2022,2022,5,2022-5
27,077E010172,2628 SE ESSEX CT,2022-05-18,326900.0,2002,2016,2628 Se Essex Ct Rockdale County GA,077E010172-5/18/2022-326900.0,162.15277777777777,2022,2022,5,2022-5
28,051B010282,616 SE WINDSOR DR,2022-04-07,250000.0,1985,1028,616 Se Windsor Dr Rockdale County GA,051B010282-4/7/2022-250000.0,243.19066147859922,2022,2022,4,2022-4
29,0920010044,2545 NE GLENDALE DR,2022-03-29,393500.0,1985,1734,2545 Ne Glendale Dr Rockdale County GA,0920010044-3/29/2022-393500.0,226.93194925028834,2022,2022,3,2022-3
30,0080010027,3276 SW BOULDER DR,2022-02-18,545000.0,1984,2625,3276 Sw Boulder Dr Rockdale County GA,0080010027-2/18/2022-545000.0,207.61904761904762,2022,2022,2,2022-2
31,0330010070,2121 SW SOUTH RIVER RD,2022-03-31,385000.0,1993,2259,2121 Sw South River Rd Rockdale County GA,0330010070-3/31/2022-385000.0,170.42939353696326,2022,2022,3,2022-3
32,0410010061,1416 NW VILLA PINES CT,2022-04-27,85250.0,1974,1160,1416 Nw Villa Pines Ct Rockdale County GA,0410010061-4/27/2022-85250.0,73.49137931034483,2022,2022,4,2022-4
33,047C010055,815 SE BRIDGEWATER WAY,2022-04-12,195000.0,1978,1068,815 Se Bridgewater Way Rockdale County GA,047C010055-4/12/2022-195000.0,182.58426966292134,2022,2022,4,2022-4
34,047C010062,826 SE RAINTREE WAY,2022-05-31,154990.0,1978,1448,826 Se Raintree Way Rockdale County GA,047C010062-5/31/2022-154990.0,107.03729281767956,2022,2022,5,2022-5
35,0440010147,1497 SW SPRUCE DR,2022-01-14,439900.0,2020,2392,1497 Sw Spruce Dr Rockdale County GA,0440010147-1/14/2022-439900.0,183.9046822742475,2022,2022,1,2022-1
36,093A010072,2749 SE FIELDSTONE DR,2022-03-11,400000.0,1971,2664,2749 Se Fieldstone Dr Rockdale County GA,093A010072-3/11/2022-400000.0,150.15015015015015,2022,2022,3,2022-3
37,080A010110,1767 SE BRANDY LN,2022-02-09,210000.0,1981,1416,1767 Se Brandy Ln Rockdale County GA,080A010110-2/9/2022-210000.0,148.3050847457627,2022,2022,2,2022-2
38,055A030019,874 NW COLT LN,2022-05-20,264400.0,1971,1908,874 Nw Colt Ln Rockdale County GA,055A030019-5/20/2022-264400.0,138.57442348008385,2022,2022,5,2022-5
39,093D010141,3534 SE MICA CIR,2022-05-13,340000.0,2016,1868,3534 Se Mica Cir Rockdale County GA,093D010141-5/13/2022-340000.0,182.01284796573876,2022,2022,5,2022-5
40,0660040014,1595 NE ELM ST,2022-05-12,115000.0,1921,1152,1595 Ne Elm St Rockdale County GA,0660040014-5/12/2022-115000.0,99.82638888888889,2022,2022,5,2022-5
41,045B010262,1642 SW SUGARMAPLE DR,2022-04-19,252000.0,1988,1358,1642 Sw Sugarmaple Dr Rockdale County GA,045B010262-4/19/2022-252000.0,185.56701030927834,2022,2022,4,2022-4
42,046A010138,320 SE WINDSOR WALK,2022-03-04,242500.0,1986,1794,320 Se Windsor Walk Rockdale County GA,046A010138-3/4/2022-242500.0,135.17279821627648,2022,2022,3,2022-3
43,079B010199,3304 SE SAM'S WAY,2022-03-24,317000.0,1987,2122,3304 Se Sam'S Way Rockdale County GA,079B010199-3/24/2022-317000.0,149.38737040527803,2022,2022,3,2022-3
44,0630160031,2624 NE LAKEWOOD WAY,2022-04-01,235900.0,1967,976,2624 Ne Lakewood Way Rockdale County GA,0630160031-4/1/2022-235900.0,241.70081967213116,2022,2022,4,2022-4
45,093C010048,1506 NE LOCOMOTIVE DR,2022-05-18,272600.0,2006,1608,1506 Ne Locomotive Dr Rockdale County GA,093C010048-5/18/2022-272600.0,169.5273631840796,2022,2022,5,2022-5
49,C230030010,1324 NW NORTH HICKS CIR,2022-01-06,209000.0,1964,1969,1324 Nw North Hicks Cir Rockdale County GA,C230030010-1/6/2022-209000.0,106.14525139664805,2022,2022,1,2022-1
50,093B010137,2104 SE HIGHLAND CLUB DR,2022-05-10,360200.0,1989,3031,2104 Se Highland Club Dr Rockdale County GA,093B010137-5/10/2022-360200.0,118.8386671065655,2022,2022,5,2022-5
51,011A010020,2950 SW GLENHAVEN CT,2022-04-29,195000.0,1973,1740,2950 Sw Glenhaven Ct Rockdale County GA,011A010020-4/29/2022-195000.0,112.06896551724138,2022,2022,4,2022-4
52,051C010090,816 SE CEDAR LAKE DR,2022-05-12,220000.0,1983,1224,816 Se Cedar Lake Dr Rockdale County GA,051C010090-5/12/2022-220000.0,179.73856209150327,2022,2022,5,2022-5
53,079C010029,3370 SE SPRING CREEK DR,2022-03-11,279000.0,1980,2040,3370 Se Spring Creek Dr Rockdale County GA,079C010029-3/11/2022-279000.0,136.76470588235293,2022,2022,3,2022-3
54,093A010001,2205 SE COUNTRY CLUB DR,2022-05-16,318000.0,1972,3736,2205 Se Country Club Dr Rockdale County GA,093A010001-5/16/2022-318000.0,85.11777301927195,2022,2022,5,2022-5
